id,test_num,name,components,precipitated_out,water_weight,cv_diff,avg_cv_diff,avg_highV,highV,avg_lowV,lowV,avg_cv_diff_rev,cv_diff_rev,avg_highV_rev,highV_rev,avg_lowV_rev,lowV_rev,ignore_first,cv_date_uploaded,temp(C),electrode_used,paths,valid_flag,cv_error,avg_conductivity,conductivity,geis_date_uploaded,geis_error
6866c32484b37ccaaabd0436,"{'components': {'FSI': 13.44, 'NO3': 3.64}, 'precipitated_out': False, 'water_weight': 2.1800971949477117}",0_13.44_0_0_3.64_0,"{'FSI': 13.44, 'NO3': 3.64}",False,2.1800971949477117,"[2.7091320000000003, 2.7853683, 2.7833517]",2.78436,1.72161595,"[1.685912, 1.7319218, 1.7113101]",-1.06274405,"[-1.02322, -1.0534465, -1.0720416]",2.92997755,"[2.9157372, 2.9319417999999997, 2.9280133]",1.8189375,"[1.8422308, 1.8302205, 1.8076545]",-1.11104005,"[-1.0735064, -1.1017213, -1.1203588]",True,2025-02-13 15:18:30,N/A,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\eis\\FSI_13p44m_NO3_3p64m_geis0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\FSI_13p44m_NO3_3p64m_geis1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\FSI_13p44m_NO3_3p64m_geis2.csv']",True,-0.002016600000000146,0.05589344030625412,"[0.05762338052284147, 0.05669783396130588, 0.05508904665120237]",2025-02-17 10:51:55,-0.0016087873101035058
6866c32484b37ccaaabd0437,"{'components': {'AC': 2.0}, 'precipitated_out': False, 'water_weight': 4.70367327901001}",2.0_0_0_0_0_0,{'AC': 2.0},False,4.70367327901001,"[2.1409995, 2.1950854, 2.1509801]",2.17303275,1.12912875,"[1.0877917, 1.1438576, 1.1143999]",-1.043904,"[-1.0532078, -1.0512278, -1.0365802]",2.38560395,"[2.3316169, 2.4235119000000003, 2.347696]",1.28740955,"[1.2241445, 1.3200301, 1.254789]",-1.0981944000000001,"[-1.1074724, -1.1034818, -1.092907]",True,2025-06-16 23:27:29,23.62,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\eis\\AC_2p00m_geis0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\AC_2p00m_geis1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\AC_2p00m_geis2.csv']",True,-0.044105300000000014,0.040114083196685885,"[0.0388019671142198, 0.038220746262118015, 0.04200742013125376]",2025-06-16 23:21:24,0.003786673869135747
6866c32484b37ccaaabd0438,"{'components': {'SO4': 1.74}, 'precipitated_out': False, 'water_weight': 4.484071271643261}",0_0_0_1.74_0_0,{'SO4': 1.74},False,4.484071271643261,"[2.2931429000000003, 2.2691329, 2.262959]",2.2660459499999996,1.247222,"[1.2751129, 1.2509106, 1.2435334]",-1.0188239499999998,"[-1.01803, -1.0182223, -1.0194256]",2.4236735,"[2.4377773, 2.4257671, 2.4215799000000002]",1.3545573499999999,"[1.3694705, 1.3572536, 1.3518611]",-1.06911615,"[-1.0683068, -1.0685135, -1.0697188]",True,2025-02-08 01:43:14,N/A,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\eis\\SO4_1p74m_geis0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\SO4_1p74m_geis1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\SO4_1p74m_geis2.csv']",True,-0.006173899999999843,0.0617503987919137,"[0.0640102900090563, 0.06369437539434264, 0.059806422189484766]",2025-02-17 10:51:56,-0.0038879532048578733
6866c32584b37ccaaabd0439,"{'components': {'TFSI': 9.81, 'NO3': 0.82, 'AC': 6.23}, 'precipitated_out': False, 'water_weight': 1.8737227199653994}",6.23_0_0_0_0.82_9.81,"{'TFSI': 9.81, 'NO3': 0.82, 'AC': 6.23}",False,1.8737227199653994,"[2.4171441, 2.5533192, 2.5630765]",2.55819785,1.3389828,"[1.2643273, 1.3353916, 1.342574]",-1.21921505,"[-1.1528168, -1.2179276, -1.2205025]",3.0898948,"[3.0257918000000004, 3.0898994, 3.0898902]",1.8293974,"[1.8246754, 1.8296878, 1.829107]",-1.2604974000000002,"[-1.2011164, -1.2602116, -1.2607832]",True,2025-04-21 17:09:00,22.93,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\cv\\TFSI_9p81m_NO3_0p82m_AC_6p23m_cv0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\cv\\TFSI_9p81m_NO3_0p82m_AC_6p23m_cv1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\cv\\TFSI_9p81m_NO3_0p82m_AC_6p23m_cv2.csv']",True,0.009757300000000413,N/A,N/A,N/A,N/A
6866c32584b37ccaaabd043a,"{'components': {'ClO4': 3.2, 'SO4': 0.96}, 'precipitated_out': False, 'water_weight': 4.149994428812807}",0_0_3.2_0.96_0_0,"{'ClO4': 3.2, 'SO4': 0.96}",False,4.149994428812807,"[2.3329388, 2.3410891, 2.3311016]",2.33609535,1.3319489500000001,"[1.3515939, 1.3417461, 1.3221518]",-1.0041464,"[-0.9813449, -0.999343, -1.0089498]",2.4936814,"[2.5036176, 2.4998024, 2.4875603999999996]",1.44320415,"[1.4739538, 1.4541281, 1.4322802]",-1.05047725,"[-1.0296638, -1.0456743, -1.0552802]",True,2025-02-18 20:50:55,N/A,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\eis\\ClO4_3p2m_SO4_0p96m_geis0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\ClO4_3p2m_SO4_0p96m_geis1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\ClO4_3p2m_SO4_0p96m_geis2.csv']",True,-0.009987499999999816,0.12029769894348655,"[0.13507465559547924, 0.12998817255485504, 0.11060722533211804]",2025-02-28 14:24:47,-0.01938094722273699
6866c32584b37ccaaabd043b,"{'components': {'TFSI': 12.57, 'AC': 7.04}, 'precipitated_out': False, 'water_weight': 1.6235226221482668}",7.04_0_0_0_0_12.57,"{'TFSI': 12.57, 'AC': 7.04}",False,1.6235226221482668,"[2.4409859000000003, 2.6551814, 2.6711715]",2.66317645,1.49844975,"[1.2805761, 1.4927608, 1.5041387]",-1.1647267000000001,"[-1.1604098, -1.1624206, -1.1670328]",3.10287095,"[3.0758704999999997, 3.0998871, 3.1058548]",1.90187065,"[1.8771609, 1.9011792, 1.9025621]",-1.2010003,"[-1.1987096, -1.1987079, -1.2032927]",True,2025-06-19 00:13:16,23.06,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\eis\\TFSI_12p57m_AC_7p04m_geis0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\TFSI_12p57m_AC_7p04m_geis1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\TFSI_12p57m_AC_7p04m_geis2.csv']",True,0.015990099999999785,0.007005984775898988,"[0.00890746343623339, 0.007119219694923047, 0.00689274985687493]",2025-06-19 00:05:48,-0.000226469838048117
6866c32684b37ccaaabd043c,"{'components': {'NO3': 4.0}, 'precipitated_out': False, 'water_weight': 4.5108377361194}",0_0_0_0_4.0_0,{'NO3': 4.0},False,4.5108377361194,"[2.3751866, 2.3731774000000003, 2.3651762]",2.3691768,1.3271527500000002,"[1.3571821, 1.3379525, 1.316353]",-1.04202405,"[-1.0180045, -1.0352249, -1.0488232]",2.56686005,"[2.5558489, 2.5698781, 2.563842]",1.4805484500000001,"[1.493562, 1.4903749, 1.470722]",-1.0863116000000002,"[-1.0622869, -1.0795032, -1.09312]",True,2025-01-31 20:24:40,24.25,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\eis\\NO3_4m_geis0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\NO3_4m_geis1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\NO3_4m_geis2.csv']",True,-0.008001200000000264,0.1340793471275031,"[0.14089933018889989, 0.1341015441145562, 0.13405715014045003]",2025-02-17 10:51:56,-4.439397410616053e-05
6866c32684b37ccaaabd043d,"{'components': {'SO4': 2.0}, 'precipitated_out': False, 'water_weight': 4.415983171488229}",0_0_0_2.0_0_0,{'SO4': 2.0},False,4.415983171488229,"[2.2911343, 2.2769176, 2.2729635]",2.27494055,1.24980435,"[1.2857404, 1.2537, 1.2459087]",-1.0251362,"[-1.0053939, -1.0232176, -1.0270548]",2.4355465499999998,"[2.4417324000000002, 2.4375633, 2.4335298]",1.3631484999999999,"[1.3920478, 1.3660582, 1.3602388]",-1.0723980499999999,"[-1.0496846, -1.0715051, -1.073291]",True,2025-02-08 06:31:02,23.37,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\eis\\SO4_2m_geis0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\SO4_2m_geis1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\SO4_2m_geis2.csv']",True,-0.0039541000000000714,0.08015027046875603,"[0.07835352744438354, 0.08033376597934903, 0.07996677495816301]",2025-02-17 10:51:55,-0.0003669910211860222
6866c32684b37ccaaabd043e,"{'components': {'TFSI': 2.47, 'NO3': 0.98, 'ClO4': 0.24, 'SO4': 0.23, 'AC': 0.26}, 'precipitated_out': False, 'water_weight': 3.5071546787906485}",0.26_0_0.24_0.23_0.98_2.47,"{'TFSI': 2.47, 'NO3': 0.98, 'ClO4': 0.24, 'SO4': 0.23, 'AC': 0.26}",False,3.5071546787906485,"[2.2971288999999997, 2.2710955999999998, 2.3030980000000003]",2.2870968,1.22477305,"[1.2326925, 1.209859, 1.2396871]",-1.06232375,"[-1.0644364, -1.0612366, -1.0634109]",2.5418412,"[2.5598617, 2.5358438999999997, 2.5478385]",1.42518135,"[1.4431055, 1.4202679, 1.4300948]",-1.11665985,"[-1.1167562, -1.115576, -1.1177437]",True,2025-03-12 22:17:16,22.56,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\eis\\TFSI_2p47m_NO3_0p98m_ClO4_0p24m_SO4_0p23m_AC_0p26m_geis0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\TFSI_2p47m_NO3_0p98m_ClO4_0p24m_SO4_0p23m_AC_0p26m_geis1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\TFSI_2p47m_NO3_0p98m_ClO4_0p24m_SO4_0p23m_AC_0p26m_geis2.csv']",True,0.03200240000000054,0.059326890064330756,"[0.0653990439412146, 0.05988262986857666, 0.05877115026008485]",2025-03-12 19:28:23,-0.001111479608491811
6866c32784b37ccaaabd043f,"{'components': {'TFSI': 2.94, 'AC': 4.06}, 'precipitated_out': False, 'water_weight': 3.2001061591017232}",4.06_0_0_0_0_2.94,"{'TFSI': 2.94, 'AC': 4.06}",False,3.2001061591017232,"[2.1910005000000004, 2.1910108, 2.1988105]",2.1949106499999997,1.1230156999999998,"[1.1135888, 1.1212183, 1.1248131]",-1.07189495,"[-1.0774117, -1.0697925, -1.0739974]",2.5927834499999998,"[2.685715, 2.5878729, 2.5976939999999997]",1.4575611,"[1.5400106, 1.4537559, 1.4613663]",-1.13522235,"[-1.1457044, -1.134117, -1.1363277]",True,2025-02-25 10:54:25,N/A,Pt,"['c:\\Users\\llf1362\\Desktop\\DB\\eis\\TFSI_2p94m_AC_4p06m_geis0.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\TFSI_2p94m_AC_4p06m_geis1.csv', 'c:\\Users\\llf1362\\Desktop\\DB\\eis\\TFSI_2p94m_AC_4p06m_geis2.csv']",True,0.007799700000000076,0.028541030201971573,"[0.03019577016100075, 0.027937891262033367, 0.029144169141909784]",2025-02-18 19:36:01,0.001206277879876417
