_id,name,alpha_c,avg_alpha_c,avg_cv_diff,avg_highV,avg_i0,avg_lowV,avg_overP,components,cv_date_uploaded,cv_diff,highV,i0,ignore_first,lowV,overP,precipitated_out,temp(C),water_weight,cv_error,avg_conductivity,conductivity,geis_date_uploaded,geis_error
681bc6c392bd801e9fb8b08f,NO3_1m,"[None, None, None]",,2.4627423,1.3658312000000001,,-1.0969111,-1.074716574866784,{'NO3': 1.0},2025-02-17 10:51:57,"[2.4737733, 2.4657317, 2.4597529]","[1.3724647, 1.3700173, 1.3616451]","[None, None, None]",1.0,"[-1.1013086, -1.0957144, -1.0981078]","[-1.079345065810427, -1.074705536479113, -1.074727613254454]",False,23.62,4.868025923310825,-0.0059788,0.057355818727619,"[0.057185249646892006, 0.05820896897189701, 0.056502668483341005]",2025-02-17 10:51:56,-0.001706300488555
681bc6c392bd801e9fb8b090,TFSI_0p87m,"[None, None, None]",,2.440756,1.3614517,,-1.0793043,-1.058582144939852,{'TFSI': 0.87},2025-02-17 10:51:58,"[2.4377587, 2.4417681, 2.4397439]","[1.360466, 1.3634558, 1.3594476]","[None, None, None]",1.0,"[-1.0772927, -1.0783123, -1.0802963]","[-1.055615380624431, -1.058037540978115, -1.059126748901589]",False,20.0,4.430289795561243,-0.0020242000000000003,0.027634674487659,"[0.028374996236746, 0.027399204030867003, 0.027870144944451003]",2025-02-17 10:51:54,0.00047094091358400005
681bc6c392bd801e9fb8b091,SO4_2m,"[None, None, None]",,2.435546549999999,1.363148499999999,,-1.072398049999999,-1.043278848238845,{'SO4': 2.0},2025-02-17 10:51:57,"[2.4417324000000002, 2.4375633, 2.4335298]","[1.3920478, 1.3660582, 1.3602387999999999]","[None, None, None]",1.0,"[-1.0496846, -1.0715051, -1.073291]","[-1.023230673732514, -1.04161249526124, -1.04494520121645]",False,23.37,4.415983171488229,-0.0040334999999990006,0.080150270468756,"[0.07835352744438301, 0.080333765979349, 0.07996677495816301]",2025-02-17 10:51:55,-0.00036699102118600005
681bc6c492bd801e9fb8b092,FSI_7p07m_AC_4p65m,"['0.50567', '0.39173', '0.40485']",0.39829000000000003,2.7477892500000003,1.5924667000000001,0.13757,-1.15532255,-0.9611559143448881,"{'FSI': 7.07, 'AC': 4.65}",2025-04-16 18:38:04,"[2.447721, 2.7397955, 2.755783]","[1.3184391, 1.5860584, 1.598875]","['5.087e-01', '2.632e-01', '1.194e-02']",1.0,"[-1.1292819, -1.1537371, -1.156908]","[-1.081556060789757, -1.054306335629539, -0.8680054930602381]",False,23.06,2.816926706197468,0.0159875,0.038754500901041,"[0.052013193496337005, 0.038950555853979, 0.038558445948102]",2025-04-16 18:31:11,-0.000392109905877
681bc6c492bd801e9fb8b093,AC_0p29m,"['0.51276', '0.47604', '0.46662']",0.47133,2.3166852000000002,1.2643724,0.6844,-1.0523128,-1.013394992469525,{'AC': 0.29},2025-02-17 10:51:57,"[2.3156738, 2.3156996, 2.3176708]","[1.2649783, 1.2623861, 1.2663587]","['6.580e-01', '6.828e-01', '6.860e-01']",1.0,"[-1.0506955, -1.0533135, -1.0513121]","[-1.013218509997971, -1.01420967879649, -1.01258030614256]",False,20.0,4.95473917484002,0.001971199999999,0.014075376689752,"[0.013535542060359002, 0.014191853036877, 0.013958900342626]",2025-02-17 10:51:56,-0.000232952694251
681bc6c492bd801e9fb8b094,FSI_1p68m,"['0.32597', None, '1.00000']",,2.4906788,1.3782603500000001,,-1.112418449999999,-1.082816246841411,{'FSI': 1.6800000000000002},2025-02-17 10:51:57,"[2.5277854, 2.4775497, 2.5038079]","[1.4462838, 1.3772533999999998, 1.3792673]","['1.000e-05', None, '3.081e-01']",1.0,"[-1.0815016, -1.1002963, -1.1245406]","[-0.13954609925212502, -1.077200987595702, -1.088431506087121]",False,20.0,4.350287824396393,0.026258200000000002,0.045401850479293,"[0.000974504517879, 0.028339506530291003, 0.062464194428295004]",2025-02-17 10:51:56,0.034124687898003006
681bc6c592bd801e9fb8b095,TFSI_1p84m_AC_5p36m,"['0.45155', '0.42749', '0.43108']",0.42928499999999997,2.3747028,1.29919575,0.42625,-1.07550705,-1.011016890489215,"{'TFSI': 1.8399999999999999, 'AC': 5.36}",2025-02-17 10:51:58,"[2.3777134, 2.3757146000000002, 2.373691]","[1.2960039, 1.3004031999999999, 1.2979883]","['4.178e-01', '3.910e-01', '4.615e-01']",1.0,"[-1.0817095, -1.0753114, -1.0757027]","[-1.018599373847614, -1.006718909069516, -1.015314871908913]",False,20.0,3.4702774954933022,-0.0020236,0.030139133541795003,"[0.028352497100506004, 0.029638215818156004, 0.030640051265434003]",2025-02-17 10:51:56,0.001001835447278
681bc6c592bd801e9fb8b096,SO4_2p16m,"[None, None, None]",,2.44172175,1.3684341,,-1.07328765,-1.044909155920387,{'SO4': 2.16},2025-02-17 10:51:57,"[2.4377299, 2.441712, 2.4417315]","[1.3632421, 1.3702204, 1.3666478]","[None, None, None]",1.0,"[-1.0744878, -1.0714916, -1.0750837]","[-1.047168649200836, -1.044686568187581, -1.045131743653192]",False,20.0,4.375101049260903,1.9500000000061132e-05,0.083908104272536,"[0.07995211740602501, 0.08912908545568801, 0.07868712308938401]",2025-02-17 10:51:55,-0.010441962366304
681bc6c592bd801e9fb8b097,TFSI_12p57m,"['0.72814', '0.64986', '0.63133']",0.640595,2.82786405,1.70768605,0.65685,-1.1201780000000001,-1.090202598704183,{'TFSI': 12.57},2025-02-17 10:51:57,"[2.7898834, 2.8299707, 2.8257574]","[1.6879699000000001, 1.7147907999999998, 1.7005813]","['5.867e-01', '6.437e-01', '6.700e-01']",1.0,"[-1.1019135, -1.1151799, -1.1251761]","[-1.072540119291516, -1.0855856958434331, -1.094819501564934]",False,20.0,1.749495640686368,-0.0042132999999990005,0.023432409758499,"[0.023908689140550003, 0.023638272551485002, 0.023226546965512]",2025-02-17 10:51:56,-0.00041172558597200003
681bc6c692bd801e9fb8b098,AC_4m,"['0.50300', '0.47832', '0.49243']",0.485375,2.40569615,1.3118191000000001,0.5535,-1.09387705,-1.0474414725007901,{'AC': 4.0},2025-02-19 02:32:21,"[2.3676938, 2.4116872000000003, 2.3997051000000003]","[1.2779913999999999, 1.3162202, 1.307418]","['5.347e-01', '5.416e-01', '5.654e-01']",1.0,"[-1.0897024, -1.095467, -1.0922871]","[-1.04391816985463, -1.04732717153669, -1.047555773464891]",False,20.0,4.440505209364047,-0.011982099999999002,0.036857565568537004,"[0.037855941030923004, 0.036599207437673004, 0.037115923699402004]",2025-02-19 02:26:07,0.000516716261728
681bc6c692bd801e9fb8b099,NO3_2p28m_ClO4_0p79m_SO4_0p98m,"['0.90038', '0.81170', '0.75191']",0.781805,2.5708374000000003,1.4701419,0.48725,-1.1006955,-1.067648246104482,"{'NO3': 2.2800000000000002, 'ClO4': 0.79, 'SO4': 0.98}",2025-03-10 17:11:03,"[2.5616526, 2.5698242000000002, 2.5718506000000003]","[1.4701728, 1.4717342, 1.4685496]","['4.162e-01', '4.505e-01', '5.240e-01']",1.0,"[-1.0914798000000001, -1.09809, -1.103301]","[-1.060871621450799, -1.0651905726268631, -1.0701059195821]",False,22.68,4.304748738466392,0.0020264000000000002,0.11671063388573401,"[0.106686857334311, 0.126709055366221, 0.106712212405246]",2025-03-10 17:04:43,-0.019996842960974003
681bc6c692bd801e9fb8b09a,AC_0p83m,"['0.62124', '0.54701', '0.51972']",0.533365,2.3184275,1.280979949999999,0.44530000000000003,-1.03744755,-0.9863730922891951,{'AC': 0.8300000000000001},2025-02-17 10:51:57,"[2.3314602, 2.3214442, 2.3154108]","[1.3070211, 1.2829897, 1.2789702]","['4.238e-01', '4.316e-01', '4.590e-01']",1.0,"[-1.0244391, -1.0384545, -1.0364406]","[-0.9781392036343701, -0.9865732958455581, -0.986172888732831]",False,20.0,4.872607690585771,-0.0060334,0.038728167006104,"[0.036657547833934004, 0.038502072355324005, 0.038954261656885]",2025-02-17 10:51:56,0.00045218930156000004
681bc6c792bd801e9fb8b09b,TFSI_1p70m_FSI_2p96m_SO4_0p06m_AC_0p15m,"['0.62046', '0.61355', '0.59937']",0.60646,2.5338454500000003,1.40387895,0.51505,-1.1299665,-1.089773037655871,"{'TFSI': 1.7000000000000002, 'FSI': 2.96, 'SO4': 0.06, 'AC': 0.15}",2025-03-19 18:46:43,"[2.541844, 2.5318443, 2.5358466]","[1.4216697, 1.4056758, 1.4020820999999999]","['4.976e-01', '5.154e-01', '5.147e-01']",1.0,"[-1.1201743, -1.1261685, -1.1337645]","[-1.078872985323702, -1.08687603969312, -1.092670035618621]",False,23.18,3.282761553372887,0.0040023,0.072298828542094,"[0.070436308517471, 0.068599746205825, 0.07599791087836401]",2025-03-19 18:40:21,0.007398164672539001
681bc6c792bd801e9fb8b09c,FSI_13p44m_NO3_3p64m,"[None, None, None]",,2.9299775500000003,1.8189375,,-1.11104005,-1.082812092359778,"{'FSI': 13.44, 'NO3': 3.64}",2025-02-17 10:51:57,"[2.9157371999999997, 2.931941799999999, 2.9280133]","[1.8422307999999998, 1.8302204999999998, 1.8076545]","[None, None, None]",1.0,"[-1.0735064, -1.1017213, -1.1203588]","[-1.045616925800731, -1.072953800277262, -1.092670384442294]",False,20.0,2.180097194947711,-0.0039284999999990005,0.055893440306254004,"[0.057623380522841, 0.056697833961305004, 0.055089046651202005]",2025-02-17 10:51:55,-0.0016087873101030001
681bc6c792bd801e9fb8b09d,TFSI_1p68m_FSI_2p52m_NO3_2p66m,"[None, '0.84523', '0.80609']",0.8256600000000001,2.7528816000000003,1.622357399999999,0.4727,-1.1305242,-1.100169531219937,"{'TFSI': 1.6800000000000002, 'FSI': 2.52, 'NO3': 2.66}",2025-02-28 17:56:35,"[2.6819799, 2.7498075, 2.7559557]","[1.5924555, 1.6292722, 1.6154426]","[None, '4.733e-01', '4.721e-01']",1.0,"[-1.0895244, -1.1205353, -1.1405131]","[-1.062123781628952, -1.091538513848774, -1.108800548591099]",False,20.0,3.237382488904536,0.006148199999999,0.07779574853941,"[0.08032834715913201, 0.071965889471008, 0.083625607607812]",2025-02-28 17:49:55,0.011659718136803
681bc6c892bd801e9fb8b09e,ClO4_3p2m_SO4_0p96m,"[None, None, None]",,2.4936814,1.4432041500000001,,-1.05047725,-1.026513540630793,"{'ClO4': 3.2, 'SO4': 0.96}",2025-02-28 14:30:56,"[2.5036176, 2.4998024, 2.487560399999999]","[1.4739537999999999, 1.4541281, 1.4322802000000001]","[None, None, None]",1.0,"[-1.0296638, -1.0456743, -1.0552802]","[-1.00518928197196, -1.020858457166753, -1.032168624094832]",False,20.0,4.149994428812807,-0.012242000000000001,0.120297698943486,"[0.13507465559547902, 0.129988172554855, 0.110607225332118]",2025-02-28 14:24:47,-0.019380947222736002
681bc6c892bd801e9fb8b09f,TFSI_2p51m_NO3_3p77m_ClO4_0p18m_SO4_0p09m_AC_0p30m,"['0.50979', '0.48387', '0.49046']",0.48716499999999996,2.6678451,1.5487058500000002,0.46465000000000006,-1.11913925,-1.065465187822099,"{'TFSI': 2.51, 'NO3': 3.77, 'ClO4': 0.18, 'SO4': 0.09, 'AC': 0.30000000000000004}",2025-03-13 18:15:48,"[2.6438682, 2.665954799999999, 2.6697354]","[1.5429778, 1.5504087, 1.5470030000000001]","['5.059e-01', '4.683e-01', '4.610e-01']",1.0,"[-1.1008904, -1.1155461, -1.1227324]","[-1.053194768513281, -1.062409285309637, -1.068521090334561]",False,22.75,3.340995853759414,0.0037806000000000003,0.069610112020105,"[0.076768186501661, 0.062041604420232, 0.077178619619978]",2025-03-13 18:09:11,0.015137015199746001
681bc6c992bd801e9fb8b0a0,TFSI_21m,"['0.63277', '0.53122', '0.49280']",0.5120100000000001,3.070989349999999,1.9086384,0.74265,-1.16235095,-1.128623100047635,{'TFSI': 21.0},2025-02-17 10:51:58,"[2.999891, 3.0558821, 3.0860966]","[1.8641334, 1.898131, 1.9191458]","['6.826e-01', '7.454e-01', '7.399e-01']",1.0,"[-1.1357576, -1.1577511, -1.1669508]","[-1.106415417601091, -1.125376913576113, -1.131869286519158]",False,23.62,1.218323178068836,0.030214500000000002,0.006970328828073,"[0.00844031156023, 0.007159019419187, 0.006781638236959001]",2025-02-17 10:51:56,-0.000377381182227
