Results of dispensing and scaling: 
Intended: 2ml Real: 10.5174g Vial: 0
Intended: 2ml Real: 10.5434g Vial: 1
Intended: 2ml Real: 10.5168g Vial: 2
Intended: 2ml Real: 10.5494g Vial: 3
Intended: 1ml Real: 9.5278g Vial: 4
Intended: 1ml Real: 9.5519g Vial: 5
Intended: 1ml Real: 9.5707g Vial: 6
Intended: 1ml Real: 9.6043g Vial: 7
Intended: 0.5ml Real: 9.061g Vial: 8
Intended: 0.5ml Real: 9.0598g Vial: 9
Intended: 0.5ml Real: 9.0814g Vial: 10
Intended: 0.5ml Real: 9.0889g Vial: 11
Intended: 0.25ml Real: 8.8247g Vial: 12
Intended: 0.25ml Real: 8.8003g Vial: 13
Intended: 0.25ml Real: 8.805g Vial: 14
Intended: 0.25ml Real: 8.8155g Vial: 15
Intended: 0.1ml Real: 8.6766g Vial: 16
Intended: 0.1ml Real: 8.6687g Vial: 17
Intended: 0.1ml Real: 8.6535g Vial: 18
Intended: 0.1ml Real: 8.6817g Vial: 19
Intended: 0.05ml Real: 8.5965g Vial: 20
Intended: 0.05ml Real: 8.5855g Vial: 21
Intended: 0.05ml Real: 8.6283g Vial: 22
Intended: 0.05ml Real: 8.5538g Vial: 23
Intended: 0.025ml Real: 8.5903g Vial: 24
Intended: 0.025ml Real: 8.5951g Vial: 25
Intended: 0.025ml Real: 8.5856g Vial: 26
Intended: 0.025ml Real: 8.5911g Vial: 27
Intended: 0.01ml Real: 8.5785g Vial: 28
Intended: 0.01ml Real: 8.525g Vial: 29
Intended: 0.01ml Real: 8.5677g Vial: 30
Intended: 0.01ml Real: 8.6184g Vial: 31
