Experiment,TFSI,FSI,NO3,CLO4,SO4,AC,H2O
SO4_2p00m,0.0,0.0,0.0,0.0,3.50,0.0,1.50
NO3_0p50m,0.0,0.0,0.42,0.0,0.0,0.0,4.58
NO3_1p00m,0.0,0.0,0.83,0.0,0.0,0.0,4.17
NO3_2p00m,0.0,0.0,1.61,0.0,0.0,0.0,3.39
TFSI_0p10m,0.1,0.0,0.0,0.0,0.0,0.0,4.90
TFSI_0p50m,0.46,0.0,0.0,0.0,0.0,0.0,4.54
TFSI_1p00m,0.85,0.0,0.0,0.0,0.0,0.0,4.15
TFSI_2p00m,1.51,0.0,0.0,0.0,0.0,0.0,3.49
CLO4_0p10m,0.0,0.0,0.0,0.12,0.0,0.0,4.88
CLO4_0p50m,0.0,0.0,0.0,0.60,0.0,0.0,4.40
CLO4_1p00m,0.0,0.0,0.0,1.17,0.0,0.0,3.83
CLO4_2p00m,0.0,0.0,0.0,2.25,0.0,0.0,2.75
