Reagent,Test_Name,GEIS,GEIS_Conditions,CV,CV_Conditions,CE
A1,SO4_1M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
A2,SO4_2M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
A3,SO4_3M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
A1,SO4_1M2,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
A4,AC_1M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
A5,AC_2M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
A6,AC_4M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
B2,AC_7M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
A4,AC_1M2,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
B3,AC_p5_SO4_1p5,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
B4,AC_3p5_SO4_p5,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
