,LiOAc,LiFSI,LiClO4,Li2SO4,LiNO3,LiTFSI
0,7,0,0.5,0,0.7,12.6
1,7,0,0,0.3,0.7,12.6
2,7,0,0,0,0,12.6
3,6.3,2.1,0,0,0.7,12.6
4,7,0,0.5,0,0,12.6
5,7,0,0,0.3,0,12.6
6,6.3,0,0,0,2.1,12.6
7,9.24,0,6.44,0,0.3,3.36
8,0,0,0,0,0,0
9,17.22,4.2,0,1,0,0
10,19.32,7.98,0,2,0,0
11,0,21,1.12,0,0,1.82
12,0,0,5.32,0.8,0,0
13,18.9,19.32,0.7,0,0.78,1.26
14,0,8.4,0,4,0.6,0
15,0,0,0,0,0,0
16,7.14,0,4.62,0,0,0
17,0,1.68,0,0,0,0
18,16.38,0,0,0.5,0,1.4
19,1.26,3.78,0,0,0.18,0
20,15.12,0,0,0,1.92,0
21,0,15.96,0,0,1.68,2.1
22,6.72,0,1.68,0,0,4.76
23,7.56,2.1,1.26,0,2.04,6.16
24,8.4,20.58,0,1.2,0.72,0
25,0.42,0,0,0.6,0.06,0.28
26,0,0,0,0,1.86,0
27,0,14.7,0,2.1,0,5.88
28,0,0.84,0,0,1.14,6.58
29,0,11.34,0,0,0,6.44
30,14.28,16.38,0,0,0,0
31,6.3,5.46,6.02,0,0.9,0
32,10.08,0.42,3.08,4.8,2.16,0
33,15.54,0,0,0,0,4.62
34,13.86,0,0,2.6,0.84,0
35,0,5.88,0,3.9,0,1.54
36,0,0,0,0,2.58,3.08
37,2.1,10.5,0,0,2.52,0
38,0,0,0,0,0,3.22
39,0,0,2.24,0,0,3.92
40,0,6.3,0.42,0,0,5.04
41,0,20.16,6.16,0,1.5,0
42,4.2,0,0.14,1.8,2.82,0
43,0,13.86,0,1.4,0,0
44,0,3.36,7,3.7,0,0
45,12.6,8.82,5.74,0.1,0.12,5.74
46,1.68,2.52,2.66,0,0,0
47,0,15.54,0,0,0,0
48,0,0,0,1.5,0,0
49,0,18.48,0,0,1.08,0
50,10.92,0,4.2,2.4,0,5.6
51,5.88,10.92,2.8,0,0,5.18
52,20.58,0,1.82,4.4,0,0.42
53,20.16,0,1.96,0,2.46,2.24
54,2.52,6.72,0,2.9,2.1,6.72
55,0,0,5.88,1.3,0,4.34
56,0,1.26,0,0,1.26,0
57,0,0,0.56,0.3,0,0
58,7.98,0,0,2.7,0,0
59,19.74,0,3.5,0.2,0.48,0
60,0,0,0,0,0,0
61,0,0,0,4.9,0.24,2.94
62,0,0,0,1.7,0.36,4.2
63,16.8,4.62,0,0,2.4,0
64,0.84,12.18,0.98,0,3,0.84
65,0,0,2.38,0,0,0
66,4.62,0,0,0,1.44,6.02
67,0,0,0,0,1.2,0.14
68,0,13.02,0,2.8,0,0
69,12.18,18.9,0,4.3,0,2.66
70,21,0,2.1,0,0,0.7
71,0,0,4.34,0,2.94,3.64
72,18.48,11.76,5.6,0.7,0.54,0
73,0,14.28,5.18,2.2,0,0.56
74,0,17.22,4.48,2.5,0,0
75,10.5,16.8,5.04,0,0,0
76,0,7.14,2.52,3.5,0,6.86
77,0,13.44,3.64,0,0,0
78,3.36,0,0,4.7,0,3.5
79,0,0,4.76,3.4,1.74,0
80,0,0,0,3.3,2.88,1.12
81,0,9.24,4.9,3.1,2.28,4.9
82,5.04,0,4.06,3.8,1.62,5.46
83,0,2.94,0,1.6,2.34,0
84,11.76,0,0,4.5,1.32,2.38
85,0,0,0,3.2,0.96,0
86,5.46,0,3.92,4.2,0,0
87,0,0,2.94,3.6,0,0.98
88,2.94,0,0,0,0,4.06
89,0,19.74,0,0.9,1.8,2.52
90,0,0,0,0.4,0,6.3
91,15.96,7.56,0,3,2.7,0
92,0,0,1.54,0,2.76,0
93,14.7,9.66,0,0,1.98,4.48
94,0,0,6.86,0,0,1.68
95,13.44,17.64,0,0,0,3.78
96,0,10.08,6.58,0,0.66,5.32
97,11.34,12.6,3.36,2.3,0,1.96
98,13.02,15.12,3.78,4.1,2.22,2.8
99,18.06,0,0,0,0,0
100,0,18.06,1.4,4.6,1.38,0
101,0,5.04,3.22,0,1.02,0
102,0,0,0.28,5,0,0
103,8.82,0,0.84,0,1.56,0
104,0,0,6.3,0,0.42,0
105,3.78,0,6.72,0,2.64,0
106,17.64,0,0,1.1,0,7
107,9.66,0,5.46,1.9,0,0
