# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,3533.86865234375,159.8725128173828,-159.8725128173828,3537.483154296875,-2.590299844741821,1.0,8.866171441468396e-08,0.20070186257362363,8.0,0.23548676073551175,0.00833030417561531,-52.85053634643555,0.0004452638968359679,0.04905498027801514,2.3548675471829483e-06,-50.26023864746094,9.999999747378752e-06,0.03918452560901642,3533.86865234375,-159.8725128173828,3537.483154296875,-2.590299844741821
1.0,79511.71875,3578.579345703125,230.86163330078125,-230.86163330078125,3586.018310546875,-3.6911554336547847,1.0,1.2941451643655455e-07,0.2524964213371277,8.0,0.23420231044292447,0.03566458821296692,-151.9553985595703,0.0014709244715049863,0.0373285748064518,9.945455531124024e-06,-148.2642364501953,9.999999747378752e-06,0.03196297213435173,3578.579345703125,-230.86163330078125,3586.018310546875,-3.6911554336547847
2.0,63105.46875,3626.525146484375,299.1549072265625,-299.1549072265625,3638.843017578125,-4.7156968116760245,1.0,1.233736668382335e-07,0.28616976737976074,8.0,0.2883076071739197,0.04479486867785454,-52.3337516784668,0.0016741444123908875,0.0348036102950573,1.231019450642634e-05,-47.61805725097656,9.999999747378752e-06,0.03665754944086074,3626.525146484375,-299.1549072265625,3638.843017578125,-4.7156968116760245
3.0,50214.84375,3682.7729492187505,365.5747985839844,-365.5747985839844,3700.873046875,-5.668961524963378,1.0,9.912511700349568e-08,0.30336296558380127,8.0,0.38914555311203,0.049952838569879525,-124.21947479248045,0.0011241344036534429,0.018965207040309903,1.3497582585841881e-05,-118.5505142211914,9.999999747378752e-06,0.02029800601303577,3682.7729492187505,-365.5747985839844,3700.873046875,-5.668961524963378
4.0,39902.34375,3709.395751953125,456.0289916992188,-456.0289916992188,3737.322509765625,-7.008710861206056,1.0,8.532703077435144e-08,0.3051772117614746,8.0,0.4947024285793304,0.04751082137227058,-144.56057739257812,0.0004735950496979058,0.002647554501891136,1.2712529496639036e-05,-137.55184936523435,9.999999747378752e-06,0.003543690545484424,3709.395751953125,-456.0289916992188,3737.322509765625,-7.008710861206056
5.0,31699.21875,3797.730712890625,501.3570251464844,-501.3570251464844,3830.6811523437505,-7.520409107208253,1.0,8.014937691314115e-08,0.31214120984077454,8.0,0.5724647641181946,0.04432826489210129,135.8685302734375,0.0005445211427286267,0.003563453443348408,1.1571901268325746e-05,143.38894653320312,9.999999747378752e-06,0.008605024777352812,3797.730712890625,-501.3570251464844,3830.6811523437505,-7.520409107208253
6.0,25136.71875,3870.348388671875,580.8751220703125,-580.8751220703125,3913.695556640625,-8.53543949127197,1.0,7.202237384262844e-08,0.3146272599697113,8.0,0.6473159193992615,0.04425420612096786,-120.25391387939452,0.0005419151857495308,0.0025107979308813806,1.130752389144618e-05,-111.7184600830078,9.999999747378752e-06,0.007605779916048051,3870.348388671875,-580.8751220703125,3913.695556640625,-8.53543949127197
7.0,19980.46875,3945.234375,665.3649291992188,-665.3649291992188,4000.947998046875,-9.572868347167969,1.0,7.74184911733755e-08,0.31906023621559143,8.0,0.7153613567352295,0.04421525448560715,-46.56119537353516,0.0005920095718465745,0.013073531910777092,1.1051193723687902e-05,-36.988327026367195,9.999999747378752e-06,0.010711530223488808,3945.234375,-665.3649291992188,4000.947998046875,-9.572868347167969
8.0,15878.90625,4025.6635742187505,754.6655883789062,-754.6655883789062,4095.788818359375,-10.617643356323242,1.0,7.709564897595556e-08,0.32436850666999817,8.0,0.7744469046592712,0.0443408228456974,75.45062255859375,0.0006045624031685293,0.0014437848003581166,1.0825953722815028e-05,86.06826782226561,9.999999747378752e-06,0.002495486056432128,4025.6635742187505,-754.6655883789062,4095.788818359375,-10.617643356323242
9.0,12597.65625,4167.0263671875,854.998779296875,-854.998779296875,4253.8369140625,-11.595133781433104,1.0,8.359046432815374e-08,0.3291375935077667,8.0,0.8140434622764587,0.04471331089735031,-13.14423942565918,0.0006123989005573094,0.001984253525733948,1.0511288564885035e-05,-1.5491050481796265,9.999999747378752e-06,0.0041811284609138966,4167.0263671875,-854.998779296875,4253.8369140625,-11.595133781433104
10.0,10019.53125,4214.04736328125,979.9921264648435,-979.9921264648435,4326.49755859375,-13.091650009155272,1.0,8.133424245215792e-08,0.33133673667907715,8.0,0.8605014681816101,0.04573412984609604,-160.70443725585935,0.0005762960063293576,0.01249512191861868,1.0570706763246562e-05,-147.6127777099609,9.999999747378752e-06,0.011092539876699448,4214.04736328125,-979.9921264648435,4326.49755859375,-13.091650009155272
11.0,7928.24072265625,4326.306640625,1116.0501708984375,-1116.0501708984375,4467.94091796875,-14.465128898620604,1.0,1.0141518913542313e-07,0.3417332172393799,8.0,0.8917430639266967,0.04630155116319656,151.78102111816406,0.0006303368718363345,0.006319202948361635,1.036306275636889e-05,166.2461700439453,9.999999747378752e-06,0.021613186225295063,4326.306640625,-1116.0501708984375,4467.94091796875,-14.465128898620604
12.0,6307.87060546875,4452.58251953125,1267.4326171875,-1267.4326171875,4629.45751953125,-15.889062881469727,1.0,9.131768052839105e-08,0.34852486848831177,8.0,0.9141519069671632,0.047457918524742126,47.03953170776367,0.0006502120522782208,0.0013155500637367368,1.0251292223983908e-05,62.92859649658203,9.999999747378752e-06,0.00210135173983872,4452.58251953125,-1267.4326171875,4629.45751953125,-15.889062881469727
