# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,250019.53125,4139.68408203125,-267.9218444824219,267.9218444824219,4148.34521484375,3.703038692474365,1.0,2.009844308759057e-07,0.5849056839942932,8.0,0.1018894612789154,0.004226726945489645,15.696468353271484,0.00046667954302392895,0.08760379999876022,1.0188946362177376e-06,11.993430137634276,9.999999747378752e-06,0.1396476924419403,4139.68408203125,267.9218444824219,4148.34521484375,3.703038692474365
1.0,198691.40625,4117.62451171875,-191.73736572265625,191.73736572265625,4122.08642578125,2.6660547256469727,1.0,5.176147510610464e-07,0.7347028851509094,8.0,0.050741203129291534,0.019675206393003464,146.75453186035156,0.0036870932672172785,0.1760891079902649,4.773118689627154e-06,144.08847045898435,9.999999747378752e-06,0.14912253618240356,4117.62451171875,191.73736572265625,4122.08642578125,2.6660547256469727
2.0,157792.96875,4079.077880859375,-152.87896728515625,152.87896728515625,4081.941650390625,2.1463727951049805,1.0,4.4387010689206363e-07,0.8206912875175475,8.0,0.061734173446893685,0.023704666644334797,-136.5502471923828,0.0037436001002788544,0.15077792108058927,5.807204161101254e-06,-138.69662475585935,9.999999747378752e-06,0.13712359964847565,4079.077880859375,152.87896728515625,4081.941650390625,2.1463727951049805
3.0,125332.03125,4114.8818359375,-50.5740623474121,50.5740623474121,4115.1923828125,0.7041597962379456,1.0,4.869945655627816e-07,0.8647826313972473,8.0,0.07540627568960188,0.029190341010689732,-48.9641990661621,0.004052602220326662,0.1327994167804718,7.093310159689281e-06,-49.66836166381836,9.268284202335053e-07,0.12755419313907623,4114.8818359375,50.5740623474121,4115.1923828125,0.7041597962379456
4.0,99550.78125,4088.766357421875,0.3868213593959808,-0.3868213593959808,4088.766357421875,-0.005420518107712269,1.0,3.1796994903743325e-07,0.8960921168327332,8.0,0.09120866656303404,0.03508083522319794,-162.9921417236328,0.001988600008189678,0.04706347733736038,8.579808309150394e-06,-162.98670959472656,9.999999747378752e-06,0.04609694331884384,4088.766357421875,-0.3868213593959808,4088.766357421875,-0.005420518107712269
5.0,79160.15625,4102.87744140625,54.627471923828125,-54.627471923828125,4103.2412109375,-0.7628155350685119,1.0,3.035629561054521e-07,0.9214307069778441,8.0,0.11476338654756546,0.044296745210886,-32.99752426147461,0.00274377572350204,0.06053437292575836,1.0795551133924164e-05,-32.23470687866211,9.999999747378752e-06,0.05924590304493904,4102.87744140625,-54.627471923828125,4103.2412109375,-0.7628155350685119
6.0,62871.09375,4126.98291015625,104.18398284912108,-104.18398284912108,4128.2978515625,-1.446101188659668,1.0,2.8977751753700437e-07,0.9323261976242064,8.0,0.15494513511657715,0.05573726072907448,160.50660705566406,0.004003786947578192,0.07021105289459229,1.350126967736287e-05,161.9527130126953,9.756591907716938e-07,0.07097846269607544,4126.98291015625,-104.18398284912108,4128.2978515625,-1.446101188659668
7.0,49980.46875,4148.95263671875,152.99557495117188,-152.99557495117188,4151.7724609375,-2.111865758895874,1.0,2.2110879172032585e-07,0.9265721440315247,8.0,0.24551405012607572,0.06578576564788817,27.608015060424805,0.004030790645629168,0.06040755659341812,1.5845223970245567e-05,29.719877243041992,1.0682059610189751e-06,0.06658147275447845,4148.95263671875,-152.99557495117188,4151.7724609375,-2.111865758895874
8.0,39667.96875,4177.52490234375,202.1603240966797,-202.1603240966797,4182.41357421875,-2.770517110824585,1.0,1.6945034531090641e-07,0.9168158769607545,8.0,0.4115387797355652,0.07010699808597565,18.057792663574215,0.0024018276017159224,0.0331324003636837,1.6762331142672338e-05,20.828308105468754,9.999999747378752e-06,0.034340761601924896,4177.52490234375,-202.1603240966797,4182.41357421875,-2.770517110824585
9.0,31582.03125,4198.2060546875,245.62705993652344,-245.62705993652344,4205.38525390625,-3.3484227657318115,1.0,1.4524347591304834e-07,0.9148728251457214,8.0,0.5570473670959473,0.056922916322946555,37.010833740234375,0.0003164424269925803,0.0034570682328194375,1.3535719517676624e-05,40.35925292968751,9.999999747378752e-06,0.011301562190055847,4198.2060546875,-245.62705993652344,4205.38525390625,-3.3484227657318115
10.0,25019.53125,4243.11181640625,297.6473999023437,-297.6473999023437,4253.53857421875,-4.012632846832275,1.0,1.4962742511670513e-07,0.9110817909240722,8.0,0.6409708857536316,0.04894367232918739,168.9014129638672,0.0005673315608873963,0.005530514288693666,1.1506577720865607e-05,172.9140472412109,9.999999747378752e-06,0.01423047762364149,4243.11181640625,-297.6473999023437,4253.53857421875,-4.012632846832275
11.0,19863.28125,4281.26953125,349.4645690917969,-349.4645690917969,4295.5087890625,-4.666501998901367,1.0,1.509152838252703e-07,0.9116854071617126,8.0,0.7182297706604004,0.04813264682888985,-164.53871154785156,9.999999747378752e-06,0.0012464026222005486,1.1205342161701992e-05,-159.87220764160156,9.999999747378752e-06,0.002665609819814563,4281.26953125,-349.4645690917969,4295.5087890625,-4.666501998901367
12.0,15682.8701171875,4327.93359375,405.0018310546875,-405.0018310546875,4346.84228515625,-5.34608793258667,1.0,1.533802560516051e-07,0.9188551902770995,8.0,0.7866544723510742,0.047609593719244,116.34672546386717,9.999999747378752e-06,0.0011188769713044167,1.0952685443044174e-05,121.69281005859376,9.999999747378752e-06,0.0020386152900755405,4327.93359375,-405.0018310546875,4346.84228515625,-5.34608793258667
13.0,12597.65625,4364.4248046875,482.52880859375,-482.52880859375,4391.01806640625,-6.3089728355407715,1.0,1.426013369609791e-07,0.9207208752632141,8.0,0.840946614742279,0.04694070667028427,48.415351867675774,9.999999747378752e-06,0.0013873162679374216,1.0690165254345628e-05,54.72432708740234,9.999999747378752e-06,0.002911035902798176,4364.4248046875,-482.52880859375,4391.01806640625,-6.3089728355407715
14.0,9895.8330078125,4429.63720703125,529.6226806640625,-529.6226806640625,4461.1865234375,-6.818114280700684,1.0,1.2975827701211529e-07,0.9192261695861816,8.0,0.8842126727104187,0.046907104551792145,14.070219039916992,0.0007047168910503387,0.005292338319122791,1.051449180522468e-05,20.88833236694336,9.999999747378752e-06,0.002588486997410655,4429.63720703125,-529.6226806640625,4461.1865234375,-6.818114280700684
15.0,7910.15625,4489.541015625,599.1109008789064,-599.1109008789064,4529.3388671875,-7.60098123550415,1.0,1.3138534882273234e-07,0.9201685786247251,8.0,0.9144327640533448,0.04684140533208847,17.591115951538082,9.999999747378752e-06,0.001423854031600058,1.0341774213884491e-05,25.19209671020508,9.999999747378752e-06,0.0034268279559910297,4489.541015625,-599.1109008789064,4529.3388671875,-7.60098123550415
16.0,6307.87060546875,4552.68701171875,680.232421875,-680.232421875,4603.224609375,-8.497892379760742,1.0,1.2739766930280894e-07,0.9266596436500547,8.0,0.9368444681167601,0.04716044291853905,69.1187973022461,0.0007501118816435337,0.0010599192464724183,1.0245088560623117e-05,77.61668395996092,9.999999747378752e-06,0.002353719435632229,4552.68701171875,-680.232421875,4603.224609375,-8.497892379760742
17.0,4973.3232421875,4631.490234375,779.3776245117188,-779.3776245117188,4696.6083984375,-9.552123069763184,1.0,1.2299132379212097e-07,0.9357373118400573,8.0,0.9265423417091369,0.046449612826108926,-27.2102165222168,9.134905849350616e-05,0.00043425938929431135,9.890033652482089e-06,-17.65809440612793,9.999999747378752e-06,0.0006880658911541104,4631.490234375,-779.3776245117188,4696.6083984375,-9.552123069763184
18.0,3944.3598632812495,4709.07568359375,880.6072387695312,-880.6072387695312,4790.7060546875,-10.592096328735352,1.0,1.1302088864795225e-07,0.9402752518653869,8.0,0.9542396068572998,0.0493391491472721,71.68724822998047,0.0007116186316125095,0.0005991992074996233,1.0298931556462776e-05,82.27935028076173,9.999999747378752e-06,0.0006042391760274768,4709.07568359375,-880.6072387695312,4790.7060546875,-10.592096328735352
19.0,3144.054931640625,4793.79345703125,1002.0634155273436,-1002.0634155273436,4897.40625,-11.806732177734377,1.0,9.770311493184637e-08,0.9414846301078796,8.0,0.9713802337646483,0.04985376074910164,114.54878997802734,9.999999747378752e-06,0.0038307402282953262,1.0179625860473607e-05,126.35552215576172,9.999999747378752e-06,0.0008443814585916699,4793.79345703125,-1002.0634155273436,4897.40625,-11.806732177734377
