# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,250019.53125,4339.4248046875,-374.4968872070313,374.4968872070313,4355.5546875,4.932464122772217,1.0,4.7466195951528794e-07,0.44859236478805536,8.0,0.04070257022976875,0.01667656935751438,-66.67534637451172,0.004131329245865345,0.24229717254638672,3.828805347438902e-06,-71.6078109741211,9.999999747378752e-06,0.1594618856906891,4339.4248046875,374.4968872070313,4355.5546875,4.932464122772217
1.0,198691.40625,4273.7412109375,-208.9890289306641,208.9890289306641,4278.84814453125,2.799574851989746,1.0,5.180969537832425e-07,0.5246214270591736,8.0,0.049136821180582047,0.019777681678533558,-17.27341651916504,0.0036302283406257625,0.1767815053462982,4.622197593562305e-06,-20.0729923248291,9.999999747378752e-06,0.14174310863018036,4273.7412109375,208.9890289306641,4278.84814453125,2.799574851989746
2.0,157792.96875,4264.1767578125,-221.1717987060547,221.1717987060547,4269.90869140625,2.969122886657715,1.0,4.55219890227454e-07,0.545685887336731,8.0,0.059275344014167786,0.023808615282177925,-72.48836517333984,0.004008042626082897,0.1551566869020462,5.575907380261924e-06,-75.45748901367188,9.999999747378752e-06,0.1403895318508148,4264.1767578125,221.1717987060547,4269.90869140625,2.969122886657715
3.0,125332.03125,4294.8515625,-140.15457153320312,140.15457153320312,4297.1376953125,1.8690789937973025,1.0,4.869986582889396e-07,0.5818525552749634,8.0,0.07270418107509613,0.029388682916760445,172.79470825195312,0.00409891689196229,0.13103458285331726,6.839129582658642e-06,170.92562866210935,9.115020702665789e-07,0.12884029746055603,4294.8515625,140.15457153320312,4297.1376953125,1.8690789937973025
4.0,99550.78125,4288.73681640625,-54.02828979492188,54.02828979492188,4289.0771484375,0.7217577695846557,1.0,3.1292412927541596e-07,0.6483089923858643,8.0,0.0876205191016197,0.035351768136024475,-103.27773284912108,0.0017800849163904786,0.046304143965244286,8.242278454417827e-06,-103.99949645996092,9.999999747378752e-06,0.045671768486499786,4288.73681640625,54.02828979492188,4289.0771484375,0.7217577695846557
5.0,79160.15625,4295.9638671875,-3.514571189880371,3.514571189880371,4295.96533203125,0.046874240040779114,1.0,2.8063527679478284e-07,0.6909598112106323,8.0,0.11048796027898788,0.04464956372976303,-126.73818969726562,0.0027772861067205667,0.05981729924678802,1.0393370757810771e-05,-126.78505706787108,9.999999747378752e-06,0.058471646159887314,4295.9638671875,3.514571189880371,4295.96533203125,0.046874240040779114
6.0,62871.09375,4308.6015625,42.768089294433594,-42.768089294433594,4308.81396484375,-0.5687113404273987,1.0,2.687698952286155e-07,0.6922348141670227,8.0,0.14390414953231812,0.05611979961395264,-94.30428314208984,0.004110127687454224,0.07097094506025313,1.302441978623392e-05,-93.7355728149414,9.360884973830253e-07,0.07025343924760817,4308.6015625,-42.768089294433594,4308.81396484375,-0.5687113404273987
7.0,49980.46875,4322.126953125,88.05226898193358,-88.05226898193358,4323.02392578125,-1.167093276977539,1.0,2.300838986002418e-07,0.7264848351478576,8.0,0.2244836539030075,0.06743711978197098,144.33326721191406,0.004331112373620272,0.06376218050718307,1.5599525795551017e-05,145.50035095214844,1.1009062745870324e-06,0.0696694627404213,4322.126953125,-88.05226898193358,4323.02392578125,-1.167093276977539
8.0,39667.96875,4338.06640625,135.46481323242188,-135.46481323242188,4340.1806640625,-1.788594365119934,1.0,1.465411543222217e-07,0.7160091400146484,8.0,0.3811905086040497,0.07369960099458694,-113.26447296142578,0.003073186380788684,0.04169378057122231,1.698076812317595e-05,-111.47588348388672,9.999999747378752e-06,0.0429556667804718,4338.06640625,-135.46481323242188,4340.1806640625,-1.788594365119934
9.0,31582.03125,4353.091796875,189.87252807617188,-189.87252807617188,4357.23095703125,-2.4975359439849854,1.0,1.2718308539660939e-07,0.6994124054908752,8.0,0.5475602149963379,0.06258933991193771,-20.68827247619629,9.003461309475824e-05,0.003731749020516872,1.4364477465278467e-05,-18.19073677062988,9.999999747378752e-06,0.011414505541324615,4353.091796875,-189.87252807617188,4357.23095703125,-2.4975359439849854
10.0,25019.53125,4377.84130859375,236.3896026611328,-236.3896026611328,4384.21875,-3.090789556503296,1.0,1.2610001931534498e-07,0.6934777498245239,8.0,0.6362745761871338,0.05094538629055023,141.01319885253906,0.0005952226347289979,0.009680465795099735,1.1620174518611748e-05,144.1039886474609,9.999999747378752e-06,0.013208355754613876,4377.84130859375,-236.3896026611328,4384.21875,-3.090789556503296
11.0,19863.28125,4398.77490234375,289.0997619628906,-289.0997619628906,4408.2646484375,-3.760230541229248,1.0,1.4156104555240745e-07,0.7010962963104248,8.0,0.7161896228790283,0.04961935803294182,147.23056030273435,0.0008234454435296356,0.0013323007151484487,1.1255984645686112e-05,150.9907989501953,9.999999747378752e-06,0.00227917218580842,4398.77490234375,-289.0997619628906,4408.2646484375,-3.760230541229248
12.0,15682.8701171875,4431.53466796875,344.808837890625,-344.808837890625,4444.92919921875,-4.449105739593506,1.0,1.351934173499103e-07,0.7074382901191713,8.0,0.7850390076637267,0.04872232675552368,72.29953002929686,0.0005708924727514385,0.0010894398437812924,1.0961328371195123e-05,76.74862670898438,9.999999747378752e-06,0.00301847280934453,4431.53466796875,-344.808837890625,4444.92919921875,-4.449105739593506
13.0,12597.65625,4449.822265625,418.7089538574218,-418.7089538574218,4469.47802734375,-5.3754568099975595,1.0,1.424316735665343e-07,0.709312379360199,8.0,0.8399388790130614,0.04782040789723396,12.183569908142088,0.0003624481032602489,0.0011181847658008337,1.0699326594476588e-05,17.55902671813965,9.999999747378752e-06,0.002888019662350416,4449.822265625,-418.7089538574218,4469.47802734375,-5.3754568099975595
14.0,9895.8330078125,4492.404296875,500.2738342285156,-500.2738342285156,4520.173828125,-6.354274272918701,1.0,1.3444362423342682e-07,0.7096284627914429,8.0,0.8833154439926147,0.04753607138991356,5.51721715927124,0.00048362032976001507,0.006765666883438826,1.0516425390960649e-05,11.87149143218994,9.999999747378752e-06,0.0032815616577863693,4492.404296875,-500.2738342285156,4520.173828125,-6.354274272918701
15.0,7910.15625,4535.95068359375,587.7536010742188,-587.7536010742188,4573.87158203125,-7.383061408996582,1.0,1.352682943434047e-07,0.7152824401855469,8.0,0.9147087931632996,0.04736429080367088,14.117895126342772,0.0006325080175884068,0.00119996874127537,1.035540390148526e-05,21.50095558166504,9.999999747378752e-06,0.002200641436502337,4535.95068359375,-587.7536010742188,4573.87158203125,-7.383061408996582
16.0,6307.87060546875,4581.37646484375,699.1162109375,-699.1162109375,4634.412109375,-8.67637825012207,1.0,1.4281305027452618e-07,0.7247623205184937,8.0,0.9362208247184752,0.04743403196334839,74.42887115478516,9.999999747378752e-06,0.0014118356630206108,1.0235178706352597e-05,83.1052474975586,9.999999747378752e-06,0.0022609950974583626,4581.37646484375,-699.1162109375,4634.412109375,-8.67637825012207
17.0,4973.3232421875,4644.48583984375,838.0643310546875,-838.0643310546875,4719.49169921875,-10.22854995727539,1.0,1.389969241927247e-07,0.732289969921112,8.0,0.92376047372818,0.046566784381866455,-41.28678131103516,0.0007230850169435142,0.0010332013480365276,9.866907930700108e-06,-31.058225631713867,9.999999747378752e-06,0.0005181504529900849,4644.48583984375,-838.0643310546875,4719.49169921875,-10.22854995727539
18.0,3944.3598632812495,4707.74072265625,987.5143432617188,-987.5143432617188,4810.1982421875,-11.84682559967041,1.0,1.3223142047991132e-07,0.7371615767478944,8.0,0.9517931938171386,0.04956170171499252,68.95087432861328,9.999999747378752e-06,0.000987717183306813,1.030346356856171e-05,80.7977066040039,9.999999747378752e-06,0.000670601730234921,4707.74072265625,-987.5143432617188,4810.1982421875,-11.84682559967041
19.0,3144.054931640625,4782.90185546875,1160.5086669921875,-1160.5086669921875,4921.6796875,-13.638504981994627,1.0,1.3428888223643298e-07,0.7465913891792297,8.0,0.9668608307838441,0.04999593272805214,104.99813842773436,0.000215065578231588,0.0056062089279294005,1.0158307304664048e-05,118.63664245605467,9.999999747378752e-06,0.0008508001337759197,4782.90185546875,-1160.5086669921875,4921.6796875,-13.638504981994627
20.0,2488.426025390625,4875.1357421875,1372.609130859375,-1372.609130859375,5064.68212890625,-15.724724769592283,1.0,1.4012825033660192e-07,0.7541533708572388,8.0,0.9753537774085999,0.05109170451760292,161.0147247314453,0.00019161539967171848,0.004111836664378643,1.0087840564665385e-05,176.7394561767578,9.999999747378752e-06,0.0010468501131981611,4875.1357421875,-1372.609130859375,5064.68212890625,-15.724724769592283
21.0,1976.6566162109373,4981.98681640625,1613.0758056640625,-1613.0758056640625,5236.62158203125,-17.941001892089844,1.0,1.4763710964871282e-07,0.7696226239204407,8.0,0.9817315936088562,0.05270863696932793,-122.21014404296876,9.999999747378752e-06,0.001173209398984909,1.006538968795212e-05,-104.26914978027344,9.999999747378752e-06,0.001060082693584263,4981.98681640625,-1613.0758056640625,5236.62158203125,-17.941001892089844
22.0,1582.03125,5105.10009765625,1889.6834716796875,-1889.6834716796875,5443.61572265625,-20.312335968017575,1.0,1.525050095096958e-07,0.7774915099143982,8.0,0.9858000278472899,0.05466175079345703,114.13192749023436,0.00047541645471937954,0.0016487984685227275,1.0041441782959735e-05,134.44427490234375,9.999999747378752e-06,0.0011974861845374107,5105.10009765625,-1889.6834716796875,5443.61572265625,-20.312335968017575
