# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,21268.138671875,4164.474609375,-4164.474609375,21672.0234375,-11.07880973815918,1.0,3.1189645710583136e-07,0.4334650933742523,8.0,0.020472595468163487,0.04173628613352776,74.8260498046875,0.0021590646356344223,0.05124565586447716,1.925814103742596e-06,85.90485382080078,9.999999747378752e-06,0.10628946125507353,21268.138671875,-4164.474609375,21672.0234375,-11.07880973815918
1.0,79511.71875,21802.037109375,3686.578369140625,-3686.578369140625,22111.52734375,-9.597547531127928,1.0,3.066485305680544e-07,0.4648622572422028,8.0,0.0253658015280962,0.05276048928499222,20.9079704284668,0.004236877430230379,0.060147833079099655,2.3861077806941462e-06,30.505517959594727,9.999999747378752e-06,0.0666326954960823,21802.037109375,-3686.578369140625,22111.52734375,-9.597547531127928
2.0,63105.46875,22197.8046875,3387.27490234375,-3387.27490234375,22454.7578125,-8.676122665405273,1.0,2.848830433777039e-07,0.4609282612800598,8.0,0.031461749225854874,0.06645577400922775,57.23621368408203,0.004798155277967453,0.06985769420862198,2.9595407795568462e-06,65.91233825683594,9.999999747378752e-06,0.09850422292947768,22197.8046875,-3387.27490234375,22454.7578125,-8.676122665405273
3.0,50214.84375,22530.333984375,3223.25927734375,-3223.25927734375,22759.73046875,-8.1416654586792,1.0,2.4801263975859916e-07,0.47894343733787537,8.0,0.03893585503101349,0.08336011320352553,-80.90509796142578,0.006580207962542772,0.07745392620563507,3.662614290078636e-06,-72.76343536376953,9.999999747378752e-06,0.08467151224613188,22530.333984375,-3223.25927734375,22759.73046875,-8.1416654586792
4.0,39902.34375,22901.044921875,2998.39794921875,-2998.39794921875,23096.498046875,-7.459217071533203,1.0,2.205831037827011e-07,0.5090509653091431,8.0,0.04820547252893448,0.10473310202360152,15.579924583435059,0.009284562431275843,0.08229490369558334,4.5345877879299215e-06,23.039142608642575,9.999999747378752e-06,0.08862780034542084,22901.044921875,-2998.39794921875,23096.498046875,-7.459217071533203
5.0,31699.21875,23219.365234375,2934.477294921875,-2934.477294921875,23404.060546875,-7.2028889656066895,1.0,2.1462437871377918e-07,0.5207852125167847,8.0,0.059798024594783776,0.13164961338043213,-85.93778228759764,0.01081886515021324,0.08105642348527907,5.625074663839769e-06,-78.73489379882812,9.999999747378752e-06,0.0890737473964691,23219.365234375,-2934.477294921875,23404.060546875,-7.2028889656066895
6.0,25136.71875,23546.78515625,2886.81982421875,-2886.81982421875,23723.0859375,-6.989543914794922,1.0,2.0566037051139574e-07,0.5117167234420776,8.0,0.07438788563013075,0.16600258648395538,130.099609375,0.013664797879755495,0.08119174093008041,6.997512173256837e-06,137.0891571044922,9.999999747378752e-06,0.0865388959646225,23546.78515625,-2886.81982421875,23723.0859375,-6.989543914794922
7.0,19980.46875,23800.015625,2823.457275390625,-2823.457275390625,23966.908203125,-6.765525817871094,1.0,2.600272352992761e-07,0.4965328276157379,8.0,0.09256830811500547,0.20869679749011996,-152.42373657226562,0.0175638310611248,0.0831242799758911,8.707706911081914e-06,-145.65821838378906,9.999999747378752e-06,0.08968760818243025,23800.015625,-2823.457275390625,23966.908203125,-6.765525817871094
8.0,15878.90625,24134.279296875,2839.513671875,-2839.513671875,24300.74609375,-6.7102742195129395,1.0,2.290159670792491e-07,0.5130522847175598,8.0,0.11479794979095458,0.2624189853668213,-30.838525772094727,0.021231709048151966,0.07985363900661469,1.0798802577483002e-05,-24.128253936767575,9.692663525129321e-07,0.08621413260698318,24134.279296875,-2839.513671875,24300.74609375,-6.7102742195129395
9.0,12597.65625,24415.107421875,2911.696533203125,-2911.696533203125,24588.115234375,-6.800858974456787,1.0,2.242491206061459e-07,0.5206477642059326,8.0,0.15423130989074707,0.3303419053554535,-127.17152404785156,0.02656865492463112,0.07943791896104813,1.3435022992780432e-05,-120.37066650390624,1.1739064120774856e-06,0.08481919765472412,24415.107421875,-2911.696533203125,24588.115234375,-6.800858974456787
10.0,10019.53125,24804.794921875,2953.6318359375,-2953.6318359375,24980.02734375,-6.790523529052734,1.0,2.161718271054269e-07,0.53391432762146,8.0,0.24128764867782593,0.39080077409744257,90.12326049804688,0.025898244231939316,0.06547481566667557,1.564453123137355e-05,96.91378021240233,1.140654944720154e-06,0.07185292989015579,24804.794921875,-2953.6318359375,24980.02734375,-6.790523529052734
11.0,7928.24072265625,25153.453125,3119.207275390625,-3119.207275390625,25346.1171875,-7.068996906280518,1.0,1.9049471688958877e-07,0.4985370934009552,8.0,0.4000106453895569,0.42019203305244446,58.582950592041016,0.014082618057727812,0.03309714049100876,1.657816392253153e-05,65.65194702148438,9.999999747378752e-06,0.03627195209264755,25153.453125,-3119.207275390625,25346.1171875,-7.068996906280518
12.0,6307.87060546875,25536.623046875,3346.39404296875,-3346.39404296875,25754.94921875,-7.465666770935058,1.0,1.6249320822225854e-07,0.47688570618629456,8.0,0.5378522276878357,0.3462997376918793,1.4607480764389038,0.0008575266692787408,0.0012242341181263328,1.344594875263283e-05,8.92641544342041,9.999999747378752e-06,0.0027317963540554047,25536.623046875,-3346.39404296875,25754.94921875,-7.465666770935058
13.0,5034.72216796875,25948.359375,3620.657470703125,-3620.657470703125,26199.744140625,-7.943377017974853,1.0,1.5237782235999478e-07,0.46626773476600647,8.0,0.5944167375564575,0.2895510196685791,-1.55293869972229,0.00048012015759013593,0.0004593181074596941,1.1051673027395736e-05,6.390437602996825,9.999999747378752e-06,0.001062222057953477,25948.359375,-3620.657470703125,26199.744140625,-7.943377017974853
14.0,3993.0556640625,26377.59765625,3893.872802734375,-3893.872802734375,26663.45703125,-8.39738082885742,1.0,1.437343115640033e-07,0.4660751521587372,8.0,0.675403356552124,0.3029623329639435,27.4087028503418,0.0007166038267314434,0.0003869759675581008,1.136245555244386e-05,35.80608367919922,9.999999747378752e-06,0.00133797200396657,26377.59765625,-3893.872802734375,26663.45703125,-8.39738082885742
15.0,3144.054931640625,26831.76953125,4240.64501953125,-4240.64501953125,27164.810546875,-8.981063842773438,1.0,1.326259848610789e-07,0.4715252220630646,8.0,0.7463187575340272,0.30017042160034174,63.79402160644531,0.0006946580833755434,0.001961710397154093,1.104997136280872e-05,72.77508544921875,9.999999747378752e-06,0.001674168510362506,26831.76953125,-4240.64501953125,27164.810546875,-8.981063842773438
16.0,2519.53125,27294.060546875,4632.91552734375,-4632.91552734375,27684.466796875,-9.633610725402832,1.0,1.2552459338621702e-07,0.4703784584999085,8.0,0.7998676300048829,0.2967084348201752,5.48700714111328,0.0007534591713920236,0.002358533442020416,1.0717506484070329e-05,15.120617866516112,9.999999747378752e-06,0.0017777113243937492,27294.060546875,-4632.91552734375,27684.466796875,-9.633610725402832
17.0,2000.76220703125,27829.490234375,5115.36376953125,-5115.36376953125,28295.71484375,-10.415328979492188,1.0,1.0460234989295712e-07,0.4686852097511292,8.0,0.8453319668769836,0.2990403771400452,34.47568130493164,0.0008514579385519028,0.0014698986196890471,1.0568398465693463e-05,44.891010284423835,9.999999747378752e-06,0.0018157201120629904,27829.490234375,-5115.36376953125,28295.71484375,-10.415328979492188
18.0,1580.6685791015625,28422.9765625,5692.0615234375,-5692.0615234375,28987.328125,-11.324403762817383,1.0,9.65652233730907e-08,0.4675631821155548,8.0,0.8809379935264587,0.30208298563957214,95.29418945312499,0.0007186115253716707,0.0021774179767817254,1.0421207662147935e-05,106.6185836791992,9.999999747378752e-06,0.002014565048739314,28422.9765625,-5692.0615234375,28987.328125,-11.324403762817383
19.0,1253.6336669921875,29105.404296875,6391.1982421875,-6391.1982421875,29798.859375,-12.384902000427246,1.0,9.28612990946931e-08,0.45376273989677435,8.0,0.9064952731132508,0.3066336214542389,134.6503753662109,0.0010069586569443345,0.002953523537144065,1.0290114005329087e-05,147.03529357910156,9.999999747378752e-06,0.002084668492898345,29105.404296875,-6391.1982421875,29798.859375,-12.384902000427246
20.0,1000.7022705078124,29812.080078125,7139.35693359375,-7139.35693359375,30655.025390625,-13.46748638153076,1.0,9.256796573708925e-08,0.4498899579048157,8.0,0.9264968633651731,0.31331419944763184,16.696828842163082,0.0013710369821637869,0.0038728215731680393,1.0220647709502371e-05,30.164314270019528,9.999999747378752e-06,0.004211254883557558,29812.080078125,-7139.35693359375,30655.025390625,-13.46748638153076
21.0,790.028076171875,30645.576171875,8023.440429687501,-8023.440429687501,31678.494140625,-14.671526908874512,1.0,9.981913962064937e-08,0.4493381381034851,8.0,0.9425736665725709,0.3222818374633789,-141.14657592773435,0.001651718746870756,0.004773061256855726,1.0173522241530009e-05,-126.4750518798828,9.999999747378752e-06,0.001905031502246857,30645.576171875,-8023.440429687501,31678.494140625,-14.671526908874512
22.0,628.8109741210938,31534.728515625,8998.560546875,-8998.560546875,32793.4921875,-15.926309585571287,1.0,1.1274372724301429e-07,0.449362576007843,8.0,0.9535284638404846,0.33174625039100647,75.5172119140625,0.002034315373748541,0.005566710606217384,1.011622225632891e-05,91.44352722167967,9.999999747378752e-06,0.002115801908075809,31534.728515625,-8998.560546875,32793.4921875,-15.926309585571287
23.0,502.2321472167969,31340.66796875,11252.2099609375,-11252.2099609375,33299.39453125,-19.749610900878903,1.0,1.1662663723654987e-07,0.45778912305831915,8.0,0.9327973127365112,0.3257541358470917,151.0631866455078,0.0015461803413927555,0.004077830351889133,9.782585038919933e-06,170.81280517578125,9.999999747378752e-06,0.0009486171184107661,31340.66796875,-11252.2099609375,33299.39453125,-19.749610900878903
24.0,400.1524353027344,32673.01953125,12291.64453125,-12291.64453125,34908.60546875,-20.616382598876957,1.0,1.1667881949506409e-07,0.46584907174110407,8.0,0.9591366648674012,0.3589431941509247,107.58894348144533,0.0023044261615723367,0.005986731499433517,1.028236965794349e-05,128.205322265625,9.999999747378752e-06,0.0013219278771430252,32673.01953125,-12291.64453125,34908.60546875,-20.616382598876957
25.0,315.5048217773437,34214.609375,13691.5146484375,-13691.5146484375,36852.3671875,-21.809595108032223,1.0,1.1843300740110863e-07,0.45118206739425654,8.0,0.9721484184265136,0.37352311611175537,-161.9420166015625,0.002862499328330159,0.007449873257428407,1.0135660886589903e-05,-140.13241577148435,9.999999747378752e-06,0.001583258737809956,34214.609375,-13691.5146484375,36852.3671875,-21.809595108032223
26.0,252.01612854003903,35619.015625,14983.6181640625,-14983.6181640625,38642.24609375,-22.814712524414062,1.0,1.3112911290136253e-07,0.468415766954422,8.0,0.9779257774353027,0.38871893286705017,83.34999084472656,0.003640315029770136,0.00912508461624384,1.00594288596767e-05,106.16469573974608,9.999999747378752e-06,0.0019099792698398232,35619.015625,-14983.6181640625,38642.24609375,-22.814712524414062
27.0,200.3205108642578,37182.46875,16537.51953125,-16537.51953125,40694.29296875,-23.9778995513916,1.0,1.1980208114437119e-07,0.4765002429485321,8.0,0.9828481674194337,0.40899124741554255,61.41445159912109,0.004666957538574934,0.011214564554393291,1.0050334822153673e-05,85.39234924316406,9.999999747378752e-06,0.0018689738353714345,37182.46875,-16537.51953125,40694.29296875,-23.9778995513916
28.0,158.005615234375,39162.12109375,18777.693359375,-18777.693359375,43431.25,-25.61707305908203,1.0,1.2659702974815445e-07,0.44781360030174255,8.0,0.9807223677635194,0.43337315320968633,106.11921691894533,0.005817285738885403,0.013189279474318027,9.978371053875888e-06,131.73629760742188,9.999999747378752e-06,0.001803309773094952,39162.12109375,-18777.693359375,43431.25,-25.61707305908203
29.0,125.5580368041992,41019.12109375,20697.267578125,-20697.267578125,45945.0234375,-26.774419784545895,1.0,1.2861909226558055e-07,0.4641577303409576,8.0,0.9746590256690979,0.4566096961498261,-129.1826629638672,0.007897613570094109,0.01710399240255356,9.938175026036333e-06,-102.40824127197264,9.999999747378752e-06,0.0021611421834677458,41019.12109375,-20697.267578125,45945.0234375,-26.774419784545895
30.0,99.73403930664062,43471.83203125,23745.484375,-23745.484375,49534.3125,-28.644556045532223,1.0,1.1830860557893175e-07,0.4233952760696411,8.0,0.9552988409996032,0.48550382256507874,46.244976043701165,0.010357481427490711,0.021005939692258835,9.80136428552214e-06,74.8895263671875,9.999999747378752e-06,0.002027877606451512,43471.83203125,-23745.484375,49534.3125,-28.644556045532223
31.0,79.44915008544922,45396.16015625,24761.15234375,-24761.15234375,51710.01953125,-28.61008071899414,1.0,1.1456612014626445e-07,0.4993074834346771,8.0,0.9832203388214112,0.5322140455245972,-124.90184020996092,0.017804376780986782,0.032622575759887695,1.029228042170871e-05,-96.29176330566406,9.999999747378752e-06,0.0023241385351866484,45396.16015625,-24761.15234375,51710.01953125,-28.61008071899414
32.0,62.919464111328125,48105.95703125,27869.55859375,-27869.55859375,55595.8203125,-30.08530044555664,1.0,1.0669552352737811e-07,0.49212384223937994,8.0,0.9851723313331603,0.557062029838562,-124.54994964599608,0.02325130626559257,0.0407090038061142,1.0019853107223751e-05,-94.46464538574217,9.999999747378752e-06,0.002292238874360919,48105.95703125,-27869.55859375,55595.8203125,-30.08530044555664
33.0,49.86701965332031,51171.046875,31247.63671875,-31247.63671875,59957.40625,-31.410356521606445,1.0,1.0254861138037084e-07,0.47637900710105896,8.0,0.9871354103088379,0.6007688641548157,-125.87098693847656,0.03128807991743088,0.05142311379313469,1.0019925866799895e-05,-94.46063995361328,9.999999747378752e-06,0.0025415613781660795,51171.046875,-31247.63671875,59957.40625,-31.410356521606445
34.0,39.72457504272461,54616.484375,35273.45703125,-35273.45703125,65016.74609375,-32.855953216552734,1.0,9.8677041648898e-08,0.4514397978782654,8.0,0.9884350299835203,0.6510234475135803,-126.18309020996092,0.041893679648637765,0.06356015801429749,1.0013165592681617e-05,-93.32713317871091,9.999999747378752e-06,0.002864164998754859,54616.484375,-35273.45703125,65016.74609375,-32.855953216552734
35.0,31.672296524047848,58508.6484375,39891.34765625,-39891.34765625,70813.7109375,-34.2862663269043,1.0,1.0593101507083703e-07,0.42120000720024103,8.0,0.9895045757293699,0.7089033722877502,-126.69246673583984,0.054776571691036224,0.07633063197135925,1.0010820915340444e-05,-92.40619659423827,9.999999747378752e-06,0.003070553764700889,58508.6484375,-39891.34765625,70813.7109375,-34.2862663269043
36.0,25.201612472534176,62852.83203125,44592.26171875,-44592.26171875,77064.5703125,-35.354595184326165,1.0,1.0674335726434947e-07,0.39592564105987543,8.0,0.9907678365707395,0.7716295719146729,-127.06108093261717,0.06911447644233704,0.08847717940807343,1.0012766324507538e-05,-91.70648193359376,9.999999747378752e-06,0.0028742621652781963,62852.83203125,-44592.26171875,77064.5703125,-35.354595184326165
37.0,20.03205108642578,67532.09375,49695.421875,-49695.421875,83846.3984375,-36.34855651855469,1.0,1.0451703502667443e-07,0.35833290219306946,8.0,0.9919180274009703,0.839437425136566,-127.4611129760742,0.08079925924539566,0.09509477019309996,1.0011609447246885e-05,-91.11255645751952,9.999999747378752e-06,0.0029342398047447205,67532.09375,-49695.421875,83846.3984375,-36.34855651855469
38.0,15.782828330993652,72394.96875,54497.78125,-54497.78125,90614.7890625,-36.97185134887695,1.0,1.1021619883422316e-07,0.3218545913696289,8.0,0.993115782737732,0.9072421193122864,-127.5970230102539,0.08791310340166093,0.09574229270219801,1.001207510853419e-05,-90.62516784667967,9.999999747378752e-06,0.002560790628194809,72394.96875,-54497.78125,90614.7890625,-36.97185134887695
39.0,12.600806236267088,76888.125,58473.64453125,-58473.64453125,96596.8515625,-37.253093719482415,1.0,1.09632125600001e-07,0.2877718508243561,8.0,0.9941365122795106,0.9669612646102904,-127.49800872802734,0.09062258899211885,0.09260080009698868,1.0010277947003487e-05,-90.24490356445312,9.999999747378752e-06,0.0021164033096283674,76888.125,-58473.64453125,96596.8515625,-37.253093719482415
40.0,9.973403930664062,81399.015625,62212.10546875,-62212.10546875,102450.6953125,-37.39016342163086,1.0,1.0102935732447806e-07,0.25037142634391785,8.0,0.99513840675354,1.0255395174026487,-127.3260498046875,0.09269146621227264,0.08930779248476028,1.0010077858169096e-05,-89.9358901977539,9.999999747378752e-06,0.0020624317694455385,81399.015625,-62212.10546875,102450.6953125,-37.39016342163086
41.0,7.971938610076904,85387.9765625,65830.21875,-65830.21875,107818.015625,-37.63058090209961,1.0,1.0796220806241764e-07,0.21569514274597168,8.0,0.9962471723556519,1.0793813467025757,-127.30326843261717,0.09654021263122559,0.08838044106960297,1.0011141966970172e-05,-89.6726837158203,9.999999747378752e-06,0.0019059169571846724,85387.9765625,-65830.21875,107818.015625,-37.63058090209961
