# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,27241.744140625,6596.4462890625,-6596.4462890625,28029.015625,-13.611871719360352,1.0,2.9142086077627033e-07,0.7525624632835389,8.0,0.015949847176671028,0.04205385968089104,121.28353118896484,0.0025981427170336246,0.05992837995290756,1.5003686257841764e-06,134.89540100097656,9.999999747378752e-06,0.08371134847402573,27241.744140625,-6596.4462890625,28029.015625,-13.611871719360352
1.0,79511.71875,27967.408203125,5812.6005859375,-5812.6005859375,28565.052734375,-11.740909576416016,1.0,2.8863382794952486e-07,0.7007932066917419,8.0,0.019786261022090912,0.053166765719652176,-2.123480319976806,0.004220597445964813,0.06424781680107117,1.861252144408354e-06,9.617430686950685,9.999999747378752e-06,0.06650543957948685,27967.408203125,-5812.6005859375,28565.052734375,-11.740909576416016
2.0,63105.46875,28524.779296875,5280.48095703125,-5280.48095703125,29009.419921875,-10.487814903259276,1.0,2.7298636950945365e-07,0.7377671599388121,8.0,0.02454844117164612,0.06698915362358093,-120.25533294677734,0.00471910648047924,0.0699029192328453,2.309220462848316e-06,-109.76751708984376,9.999999747378752e-06,0.08319674432277678,28524.779296875,-5280.48095703125,29009.419921875,-10.487814903259276
3.0,50214.84375,29168.119140625,4773.20458984375,-4773.20458984375,29556.09375,-9.293766975402832,1.0,2.700858203752432e-07,0.7451888918876648,8.0,0.030239237472414967,0.08407353609800337,-167.30657958984375,0.006549488287419081,0.07674673944711685,2.8445417683542477e-06,-158.01280212402344,9.999999747378752e-06,0.08755936473608017,29168.119140625,-4773.20458984375,29556.09375,-9.293766975402832
4.0,39902.34375,28879.126953125,4609.06982421875,-4609.06982421875,29244.615234375,-9.067853927612305,1.0,2.7115402190247556e-07,0.7604069113731384,8.0,0.038354475051164634,0.10551238059997559,-36.028167724609375,0.006950302515178919,0.0643720030784607,3.6079250094189774e-06,-26.960317611694332,9.999999747378752e-06,0.07127638906240463,28879.126953125,-4609.06982421875,29244.615234375,-9.067853927612305
5.0,31699.21875,29921.515625,4041.990966796875,-4041.990966796875,30193.2890625,-7.693311691284179,1.0,2.4685192556717084e-07,0.6988746523857117,8.0,0.04675941169261932,0.13280698657035828,-62.50357437133789,0.010918376967310904,0.08083353191614151,4.398559667606605e-06,-54.81026840209961,9.999999747378752e-06,0.10430233925580978,29921.515625,-4041.990966796875,30193.2890625,-7.693311691284179
6.0,25136.71875,30337.650390625,3869.2553710937505,-3869.2553710937505,30583.396484375,-7.268247604370117,1.0,2.2243422392875803e-07,0.7265723347663878,8.0,0.058188725262880325,0.16740407049655914,117.77173614501952,0.013758250512182713,0.08115207403898238,5.473691544466419e-06,125.03998565673828,9.999999747378752e-06,0.08787094056606291,30337.650390625,-3869.2553710937505,30583.396484375,-7.268247604370117
7.0,19980.46875,30675.568359375,3730.393310546875,-3730.393310546875,30901.55859375,-6.933578014373779,1.0,2.1331145205749638e-07,0.6984220743179321,8.0,0.0724327564239502,0.2105507850646973,-136.02154541015625,0.01945578306913376,0.09127350896596909,6.8135973378957715e-06,-129.08795166015625,9.999999747378752e-06,0.08720032870769501,30675.568359375,-3730.393310546875,30901.55859375,-6.933578014373779
8.0,15878.90625,31035.396484375,3601.775146484375,-3601.775146484375,31243.697265625,-6.619778633117676,1.0,1.9115127258828577e-07,0.7611811757087708,8.0,0.09007595479488371,0.2647358775138855,-55.02537536621094,0.021561160683631897,0.08038085699081421,8.473256457364185e-06,-48.40559387207031,9.999999747378752e-06,0.08549831807613373,31035.396484375,-3601.775146484375,31243.697265625,-6.619778633117676
9.0,12597.65625,31208.87109375,3589.85595703125,-3589.85595703125,31414.658203125,-6.561710834503174,1.0,1.6682405146184465e-07,0.7757861018180846,8.0,0.11281586438417435,0.33338341116905207,-123.82608795166016,0.02707101963460445,0.08020003139972687,1.0612351616146041e-05,-117.26437377929688,9.088300316761889e-07,0.08443068712949754,31208.87109375,-3589.85595703125,31414.658203125,-6.561710834503174
10.0,10019.53125,31760.15234375,3611.197021484375,-3611.197021484375,31964.79296875,-6.4867939949035645,1.0,1.808221696819601e-07,0.7975309491157532,8.0,0.14782848954200745,0.4188512861728668,96.74130249023438,0.034575026482343674,0.08155262470245361,1.3103520359436516e-05,103.22809600830078,1.1346276096446672e-06,0.0854620486497879,31760.15234375,-3611.197021484375,31964.79296875,-6.4867939949035645
11.0,7928.24072265625,32145.107421875,3788.471435546875,-3788.471435546875,32367.58203125,-6.72160530090332,1.0,1.771250452975437e-07,0.7557852864265443,8.0,0.2298601865768433,0.5032872557640076,45.11492538452149,0.0349188894033432,0.06854812055826187,1.5549112504231744e-05,51.83653259277344,1.1647556448224348e-06,0.07379032671451569,32145.107421875,-3788.471435546875,32367.58203125,-6.72160530090332
12.0,6307.87060546875,32559.109375,3973.8823242187505,-3973.8823242187505,32800.72265625,-6.958608627319336,1.0,1.4960231453642336e-07,0.7462304830551147,8.0,0.38224849104881287,0.5454632043838501,-17.94146728515625,0.020861437544226646,0.03776064142584801,1.6629608580842614e-05,-10.98285961151123,9.999999747378752e-06,0.039805542677640915,32559.109375,-3973.8823242187505,32800.72265625,-6.958608627319336
13.0,5034.72216796875,33043.5625,4421.66748046875,-4421.66748046875,33338.0859375,-7.621660709381103,1.0,1.4663618230770226e-07,0.6857582330703735,8.0,0.5116483569145203,0.4462379515171051,-3.892123460769653,0.0011330433189868927,0.0008118540281429888,1.3385228157858364e-05,3.729537010192871,9.999999747378752e-06,0.001992117613554001,33043.5625,-4421.66748046875,33338.0859375,-7.621660709381103
14.0,3993.0556640625,33529.23828125,4716.44970703125,-4716.44970703125,33859.3359375,-8.007076263427734,1.0,1.4784907875764475e-07,0.6958336234092712,8.0,0.5985853672027588,0.3961256742477417,18.268888473510746,0.0007978767971508206,0.0003284909762442112,1.169915594800841e-05,26.275962829589844,9.999999747378752e-06,0.0019268100149929523,33529.23828125,-4716.44970703125,33859.3359375,-8.007076263427734
15.0,3144.054931640625,34058.28515625,5098.76220703125,-5098.76220703125,34437.83203125,-8.514344215393066,1.0,1.5881727222222253e-07,0.7027783393859863,8.0,0.6771185398101808,0.3895600438117981,67.98421478271484,0.0006587161333300173,0.0019085672684013844,1.1311979505990166e-05,76.49856567382812,9.999999747378752e-06,0.0025881926994770765,34058.28515625,-5098.76220703125,34437.83203125,-8.514344215393066
16.0,2519.53125,34598.66015625,5554.3896484375,-5554.3896484375,35041.66796875,-9.120314598083496,1.0,1.6468936792080058e-07,0.7016574144363403,8.0,0.7405978441238403,0.3832679390907288,0.388376921415329,0.0011205628979951143,0.0027833343483507638,1.0937491424556356e-05,9.508691787719727,9.999999747378752e-06,0.003312149550765753,34598.66015625,-5554.3896484375,35041.66796875,-9.120314598083496
17.0,2000.76220703125,35201.546875,6073.6953125,-6073.6953125,35721.68359375,-9.789462089538574,1.0,1.660783226498097e-07,0.7108520865440369,8.0,0.7954168915748595,0.3836580514907837,30.518829345703125,0.0011460576206445692,0.0022397805005311966,1.0740200195868964e-05,40.308292388916016,9.999999747378752e-06,0.0036295671015977855,35201.546875,-6073.6953125,35721.68359375,-9.789462089538574
18.0,1580.6685791015625,35915.125,6727.04638671875,-6727.04638671875,36539.6953125,-10.60880661010742,1.0,1.583412370109727e-07,0.7120890021324158,8.0,0.8411958813667297,0.3864268064498901,88.88285064697266,0.0014475038042291999,0.003477306803688407,1.0575534361123571e-05,99.49166107177734,9.999999747378752e-06,0.003978249151259661,35915.125,-6727.04638671875,36539.6953125,-10.60880661010742
19.0,1253.6336669921875,36660.65234375,7404.354492187501,-7404.354492187501,37400.90625,-11.418426513671877,1.0,1.5393963792575962e-07,0.7249439358711242,8.0,0.8776432871818542,0.3902141749858856,131.3351287841797,0.0020177525002509356,0.004997442942112684,1.0433281204313973e-05,142.75355529785156,9.999999747378752e-06,0.004348716232925653,36660.65234375,-7404.354492187501,37400.90625,-11.418426513671877
20.0,1000.7022705078124,37511.1953125,8242.5224609375,-8242.5224609375,38406.10546875,-12.392935752868652,1.0,1.3719065350414894e-07,0.7189038395881653,8.0,0.9030765295028687,0.3951908051967621,14.132587432861328,0.002733797300606966,0.006771069020032883,1.0289790225215256e-05,26.525524139404297,9.999999747378752e-06,0.0050682248547673225,37511.1953125,-8242.5224609375,38406.10546875,-12.392935752868652
21.0,790.028076171875,38474.8984375,9173.9990234375,-9173.9990234375,39553.5078125,-13.41125202178955,1.0,1.1468038962902936e-07,0.7208245396614074,8.0,0.9247653484344481,0.40503448247909546,-140.1617889404297,0.0036249312106519938,0.008621665649116038,1.024016546580242e-05,-126.75054168701172,9.999999747378752e-06,0.004560716450214386,38474.8984375,-9173.9990234375,39553.5078125,-13.41125202178955
22.0,628.8109741210938,39496.4765625,10187.8974609375,-10187.8974609375,40789.27734375,-14.463844299316406,1.0,1.295936442602397e-07,0.7257235050201416,8.0,0.9393606185913086,0.41433036327362066,74.5960464477539,0.00450139120221138,0.010508587583899496,1.0157827091461511e-05,89.0598907470703,9.999999747378752e-06,0.004546535667032003,39496.4765625,-10187.8974609375,40789.27734375,-14.463844299316406
23.0,502.2321472167969,39248.1015625,12805.59765625,-12805.59765625,41284.33984375,-18.07010841369629,1.0,1.2571034346819943e-07,0.7305192351341246,8.0,0.92199569940567,0.4052116572856903,150.47103881835935,0.0034752734936773777,0.008163629099726677,9.815141311264595e-06,168.54115295410156,9.999999747378752e-06,0.0029050118755549192,39248.1015625,-12805.59765625,41284.33984375,-18.07010841369629
24.0,400.1524353027344,40834.015625,13860.9501953125,-13860.9501953125,43122.41796875,-18.749584197998047,1.0,1.1690697476751664e-07,0.7305234670639038,8.0,0.9519002437591552,0.445210725069046,107.4997787475586,0.005491538438946009,0.012028164230287077,1.0324345566914415e-05,126.2493667602539,9.999999747378752e-06,0.003569616936147213,40834.015625,-13860.9501953125,43122.41796875,-18.749584197998047
