# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,7322.142578125,6188.8330078125,-6188.8330078125,9587.2529296875,-40.20521545410156,1.0,2.9072171514599177e-07,0.014916914515197275,8.0,0.02449718862771988,0.02209285832941532,-83.21754455566406,0.017860572785139084,0.7885295152664183,2.3043992314342177e-06,-43.012325286865234,9.999999747378752e-06,0.09503359347581863,7322.142578125,-6188.8330078125,9587.2529296875,-40.20521545410156
1.0,79511.71875,63774.859375,41383.7421875,-41383.7421875,76025.3046875,-32.97968673706055,1.0,2.8152607001175056e-07,0.15231378376483917,8.0,0.028552236035466198,0.20419248938560483,-83.28369140625,0.0791388750076294,0.3792758882045746,2.685849040062749e-06,-50.30400085449219,9.999999747378752e-06,0.09722138196229935,63774.859375,-41383.7421875,76025.3046875,-32.97968673706055
2.0,63105.46875,121476.9296875,63396.12109375,-63396.12109375,137024.5,-27.55906105041504,1.0,2.406427483947482e-07,0.2635946869850158,8.0,0.03392713516950607,0.4373074471950531,-162.60475158691406,0.028071677312254906,0.06325632333755493,3.1914546525513288e-06,-135.04568481445312,9.999999747378752e-06,0.11799998581409454,121476.9296875,-63396.12109375,137024.5,-27.55906105041504
3.0,50214.84375,133314.9375,56682.12890625,-56682.12890625,144864.546875,-23.033966064453125,1.0,2.0218905660840394e-07,0.2988980710506439,8.0,0.040427397936582565,0.5509083271026611,-169.95216369628906,0.0399162620306015,0.07147406041622162,3.802920446105418e-06,-146.9181976318359,9.999999747378752e-06,0.11316176503896712,133314.9375,-56682.12890625,144864.546875,-23.033966064453125
4.0,39902.34375,141925.71875,47591.859375,-47591.859375,149692.671875,-18.53781509399414,1.0,1.7567515442351578e-07,0.32793524861335754,8.0,0.049264084547758095,0.6937011480331421,-46.188343048095696,0.05459227412939072,0.07577808946371078,4.634169272321742e-06,-27.650524139404297,9.999999747378752e-06,0.10555040836334229,141925.71875,-47591.859375,149692.671875,-18.53781509399414
5.0,31699.21875,147394.5625,40735.734375,-40735.734375,152920.109375,-15.449311256408691,1.0,1.8210721464129165e-07,0.33131974935531616,8.0,0.06071636825799943,0.8733972907066345,-84.58847045898438,0.0690234825015068,0.07804375886917114,5.7114616538456175e-06,-69.13916778564453,9.999999747378752e-06,0.10243475437164307,147394.5625,-40735.734375,152920.109375,-15.449311256408691
6.0,25136.71875,152440.96875,34115.04296875,-34115.04296875,156211.65625,-12.614479064941406,1.0,1.5947289000450837e-07,0.3274995684623718,8.0,0.07490445673465727,1.1006839275360107,137.62808227539062,0.08762508630752563,0.0786065086722374,7.046105110930512e-06,150.2425537109375,9.999999747378752e-06,0.09587252885103224,152440.96875,-34115.04296875,156211.65625,-12.614479064941406
7.0,19980.46875,155348.296875,28060.455078125,-28060.455078125,157862.21875,-10.238895416259764,1.0,1.5790783436386846e-07,0.30627426505088806,8.0,0.093214251101017,1.3842101097106931,165.9640655517578,0.1079300343990326,0.0770486071705818,8.768469342612661e-06,176.2029571533203,9.999999747378752e-06,0.09209975600242615,155348.296875,-28060.455078125,157862.21875,-10.238895416259764
8.0,15878.90625,157342.09375,23144.630859375,-23144.630859375,159035.25,-8.368056297302246,1.0,1.6296156957196217e-07,0.31618696451187134,8.0,0.11633369326591492,1.7403652667999268,-37.337757110595696,0.1386684775352478,0.0786919891834259,1.0943266715912614e-05,-28.969701766967773,9.717648481455399e-07,0.08646119385957718,157342.09375,-23144.630859375,159035.25,-8.368056297302246
9.0,12597.65625,157309.328125,18873.177734375,-18873.177734375,158437.4375,-6.841358184814453,1.0,1.7060614254660322e-07,0.3325097858905792,8.0,0.159824401140213,2.1766839027404785,-123.8202667236328,0.15882256627082825,0.07177813351154327,1.3738444067712408e-05,-116.97890472412108,1.1810623163910348e-06,0.08385864645242691,157309.328125,-18873.177734375,158437.4375,-6.841358184814453
