# point,freq,zreal,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.000000000000000000e+00,2.500195312500000000e+05,4.147071289062500000e+03,5.592448730468750000e+02,4.184609375000000000e+03,7.680173873901367188e+00,1.000000000000000000e+00,3.164677764289081097e-07,1.249305903911590576e-01,8.000000000000000000e+00,1.020525619387626648e-01,4.270501434803009033e-03,1.538496017456054688e+00,8.774512098170816898e-04,1.650536805391311646e-01,1.020525587591691874e-06,-6.141677856445312500e+00,9.999999747378751636e-06,1.972149759531021118e-01,4.147071289062500000e+03,5.592448730468750000e+02,4.184609375000000000e+03,7.680173873901367188e+00
1.000000000000000000e+00,1.986914062500000000e+05,4.069364501953125000e+03,4.698965759277343750e+02,4.096404296875000000e+03,6.586870670318603516e+00,1.000000000000000000e+00,5.254444204183528200e-07,2.689892947673797607e-01,8.000000000000000000e+00,5.116192996501922607e-02,1.971474662423133850e-02,4.857984924316406250e+01,3.941219300031661987e-03,1.823537945747375488e-01,4.812695351574802771e-06,4.199297714233398438e+01,9.999999747378751636e-06,1.469933241605758667e-01,4.069364501953125000e+03,4.698965759277343750e+02,4.096404296875000000e+03,6.586870670318603516e+00
2.000000000000000000e+00,1.577929687500000000e+05,4.057460937500000000e+03,3.321879577636718750e+02,4.071036376953125000e+03,4.680418014526367188e+00,1.000000000000000000e+00,4.802960802408051677e-07,3.696724176406860352e-01,8.000000000000000000e+00,6.255983561277389526e-02,2.395753376185894012e-02,9.136209106445312500e+01,3.823798615485429764e-03,1.513447016477584839e-01,5.884872734895907342e-06,8.668167877197265625e+01,9.999999747378751636e-06,1.384746879339218140e-01,4.057460937500000000e+03,3.321879577636718750e+02,4.071036376953125000e+03,4.680418014526367188e+00
3.000000000000000000e+00,1.253320312500000000e+05,4.018964599609375000e+03,2.489954223632812500e+02,4.026670410156250000e+03,3.545235395431518555e+00,1.000000000000000000e+00,4.531658248652092880e-07,4.243271946907043457e-01,8.000000000000000000e+00,7.693612575531005859e-02,2.914189919829368591e-02,9.167114257812500000e+01,4.033769015222787857e-03,1.333734393119812012e-01,7.237219961098162457e-06,8.812590026855468750e+01,9.515020451544842217e-07,1.248314827680587769e-01,4.018964599609375000e+03,2.489954223632812500e+02,4.026670410156250000e+03,3.545235395431518555e+00
4.000000000000000000e+00,9.955078125000000000e+04,4.006372802734375000e+03,1.503028106689453125e+02,4.009191162109375000e+03,2.148497104644775391e+00,1.000000000000000000e+00,3.046829135655571008e-07,4.519394636154174805e-01,8.000000000000000000e+00,9.286943823099136353e-02,3.502442687749862671e-02,-7.734793853759765625e+01,1.720524625852704048e-03,4.678132012486457825e-02,8.736033123568631709e-06,-7.949643707275390625e+01,9.999999747378751636e-06,4.554362222552299500e-02,4.006372802734375000e+03,1.503028106689453125e+02,4.009191162109375000e+03,2.148497104644775391e+00
5.000000000000000000e+00,7.916015625000000000e+04,4.007853515625000000e+03,9.330256652832031250e+01,4.008939453125000000e+03,1.333601117134094238e+00,1.000000000000000000e+00,2.985482581152609782e-07,4.789258539676666260e-01,8.000000000000000000e+00,1.171644181013107300e-01,4.418417066335678101e-02,9.130210113525390625e+01,2.782710595056414604e-03,6.060907244682312012e-02,1.102141141018364578e-05,8.996850585937500000e+01,9.999999747378751636e-06,5.873153358697891235e-02,4.007853515625000000e+03,9.330256652832031250e+01,4.008939453125000000e+03,1.333601117134094238e+00
6.000000000000000000e+00,6.287109375000000000e+04,4.012711914062500000e+03,3.373781967163085938e+01,4.012853759765625000e+03,4.817163944244384766e-01,1.000000000000000000e+00,2.976888708872138523e-07,4.998058378696441650e-01,8.000000000000000000e+00,1.618143320083618164e-01,5.542102828621864319e-02,1.621426544189453125e+02,3.992979414761066437e-03,7.083988189697265625e-02,1.381087622576160356e-05,1.616609344482421875e+02,9.844045507634291425e-07,6.910151243209838867e-02,4.012711914062500000e+03,3.373781967163085938e+01,4.012853759765625000e+03,4.817163944244384766e-01
7.000000000000000000e+00,4.998046875000000000e+04,4.022508056640625000e+03,-1.695545578002929688e+01,4.022543701171875000e+03,-2.415086030960083008e-01,1.000000000000000000e+00,2.295336116731050424e-07,4.954411089420318604e-01,8.000000000000000000e+00,2.607240378856658936e-01,6.481340527534484863e-02,-5.277206420898437500e+01,4.414262250065803528e-03,6.690589338541030884e-02,1.611254265299066901e-05,-5.253055953979492188e+01,1.048650688062480185e-06,6.417189538478851318e-02,4.022508056640625000e+03,-1.695545578002929688e+01,4.022543701171875000e+03,-2.415086030960083008e-01
8.000000000000000000e+00,3.966796875000000000e+04,4.034155029296875000e+03,-6.541998291015625000e+01,4.034685546875000000e+03,-9.290570616722106934e-01,1.000000000000000000e+00,1.792069355133207864e-07,4.920685887336730957e-01,8.000000000000000000e+00,4.374866783618927002e-01,6.770074367523193359e-02,3.548177719116210938e+01,2.036050893366336823e-03,2.867123484611511230e-02,1.677968430158216506e-05,3.641083908081054688e+01,9.999999747378751636e-06,3.082340210676193237e-02,4.034155029296875000e+03,-6.541998291015625000e+01,4.034685546875000000e+03,-9.290570616722106934e-01
9.000000000000000000e+00,3.158203125000000000e+04,4.044440673828125000e+03,-1.122111740112304688e+02,4.045996826171875000e+03,-1.589237809181213379e+00,1.000000000000000000e+00,1.440254351336989203e-07,4.903735816478729248e-01,8.000000000000000000e+00,5.761092305183410645e-01,5.328016355633735657e-02,-8.109096527099609375e+00,6.667319103144109249e-04,4.622241947799921036e-03,1.316861107625300065e-05,-6.519857883453369141e+00,9.999999747378751636e-06,1.355612743645906448e-02,4.044440673828125000e+03,-1.122111740112304688e+02,4.045996826171875000e+03,-1.589237809181213379e+00
