# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,250019.53125,1755.9998779296875,-243.4564971923828,243.4564971923828,1772.7962646484375,7.893321990966797,1.0,1.924464498870293e-07,0.10258370637893675,8.0,0.18571460247039795,0.003292341250926256,30.971858978271484,0.0009847866604104638,0.2862289547920227,1.8571460032035247e-06,23.078536987304688,9.999999747378752e-06,0.07644005119800566,1755.9998779296875,243.4564971923828,1772.7962646484375,7.893321990966797
1.0,198691.40625,1760.699462890625,-220.3778381347656,220.3778381347656,1774.4376220703125,7.1343207359313965,1.0,3.673618778066157e-07,0.20864565670490265,8.0,0.1486385315656662,0.01420188881456852,124.40982055664062,0.002502730116248131,0.1481810063123703,8.00359975983156e-06,117.27549743652344,1.008735125651583e-06,0.1210092082619667,1760.699462890625,220.3778381347656,1774.4376220703125,7.1343207359313965
2.0,157792.96875,1757.54296875,-136.2274627685547,136.2274627685547,1762.8145751953125,4.432144165039063,1.0,4.0745621276983e-07,0.3177349269390106,8.0,0.15223605930805206,0.01805480383336544,-177.1525421142578,0.002840206492692232,0.14380794763565063,1.0242031748930456e-05,178.41531372070312,1.3118665265210439e-06,0.12496828287839888,1757.54296875,136.2274627685547,1762.8145751953125,4.432144165039063
3.0,125332.03125,1750.090087890625,-100.38465118408205,100.38465118408205,1752.9666748046875,3.282871723175049,1.0,3.4062114195876353e-07,0.37747809290885925,8.0,0.19003276526927948,0.02188188023865223,139.3886566162109,0.0028344558086246248,0.11859886348247528,1.2482770216593051e-05,136.1057891845703,1.3858419833923108e-06,0.10887429118156432,1750.090087890625,100.38465118408205,1752.9666748046875,3.282871723175049
4.0,99550.78125,1747.8775634765625,-47.28343200683594,47.28343200683594,1748.5169677734375,1.5495824813842771,1.0,2.1081095269437358e-07,0.40382200479507446,8.0,0.2679694890975952,0.024656232446432117,-50.856800079345696,0.000993025256320834,0.03429870307445526,1.4101225133344997e-05,-52.40638732910156,9.999999747378752e-06,0.0334482304751873,1747.8775634765625,47.28343200683594,1748.5169677734375,1.5495824813842771
5.0,79160.15625,1753.999267578125,-5.418679714202881,5.418679714202881,1754.007568359375,0.17700491845607755,1.0,1.6242739775407244e-07,0.4037513136863709,8.0,0.4065484702587128,0.026610830798745155,46.18971633911133,0.0007873298600316047,0.028857668861746788,1.5171446648309939e-05,46.012710571289055,9.999999747378752e-06,0.019553214311599728,1753.999267578125,5.418679714202881,1754.007568359375,0.17700491845607755
6.0,62871.09375,1759.4521484375,34.10871505737305,-34.10871505737305,1759.78271484375,-1.1105961799621582,1.0,1.3669590259723918e-07,0.3951061367988586,8.0,0.5330304503440857,0.02307271584868431,146.7688751220703,0.0005558155244216323,0.001645316369831562,1.3111116459185723e-05,147.87945556640625,9.999999747378752e-06,0.0024677817709743977,1759.4521484375,-34.10871505737305,1759.78271484375,-1.1105961799621582
7.0,49980.46875,1768.4176025390625,71.56086730957031,-71.56086730957031,1769.8648681640625,-2.317269325256348,1.0,1.3643946772390336e-07,0.39418315887451166,8.0,0.6204820275306702,0.02060237526893616,-147.75177001953125,0.0006395133095793426,0.031475603580474854,1.164064906333806e-05,-145.43450927734375,9.999999747378752e-06,0.011452841572463512,1768.4176025390625,-71.56086730957031,1769.8648681640625,-2.317269325256348
8.0,39667.96875,1778.2535400390625,108.8266830444336,-108.8266830444336,1781.5804443359375,-3.5020556449890137,1.0,1.444639394776459e-07,0.40047615766525274,8.0,0.7020797729492188,0.020158706232905388,-60.28780746459961,0.0005698997410945593,0.00742894969880581,1.131506996898679e-05,-56.78575134277344,9.999999747378752e-06,0.011280488222837448,1778.2535400390625,-108.8266830444336,1781.5804443359375,-3.5020556449890137
9.0,31582.03125,1794.1435546875,153.70974731445312,-153.70974731445312,1800.7159423828125,-4.89674711227417,1.0,1.3555737155002134e-07,0.3993531167507172,8.0,0.772596836090088,0.019815800711512566,31.865089416503903,0.0005954979569651185,0.008190182037651539,1.1004402040271088e-05,36.761837005615234,9.999999747378752e-06,0.01206677220761776,1794.1435546875,-153.70974731445312,1800.7159423828125,-4.89674711227417
