# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,250019.53125,4341.54296875,-598.5286865234375,598.5286865234375,4382.60546875,7.849365234375,1.0,5.402113743002701e-07,0.4052144289016724,8.0,0.04080221801996231,0.016821224242448807,76.36587524414062,0.003948867786675692,0.22692511975765228,3.838179054582724e-06,68.51651000976562,9.999999747378752e-06,0.16024087369441986,4341.54296875,598.5286865234375,4382.60546875,7.849365234375
1.0,198691.40625,4279.7041015625,-485.92358398437506,485.92358398437506,4307.2021484375,6.4777021408081055,1.0,4.880214419245021e-07,0.4972777366638184,8.0,0.04910717904567719,0.019896728917956352,-91.85209655761719,0.0037017387803643938,0.1775042563676834,4.61940953755402e-06,-98.32979583740233,9.999999747378752e-06,0.14260844886302948,4279.7041015625,485.92358398437506,4307.2021484375,6.4777021408081055
2.0,157792.96875,4294.31298828125,-350.739990234375,350.739990234375,4308.6123046875,4.669294834136962,1.0,5.234544460108738e-07,0.5476130843162537,8.0,0.05954518541693688,0.02413379400968552,25.26014518737793,0.003895898349583149,0.15414771437644958,5.601290922641056e-06,20.59084892272949,9.999999747378752e-06,0.1320178508758545,4294.31298828125,350.739990234375,4308.6123046875,4.669294834136962
3.0,125332.03125,4291.58056640625,-247.0424346923828,247.0424346923828,4298.68505859375,3.294563770294189,1.0,5.047340323471873e-07,0.5884140729904175,8.0,0.07296416908502577,0.02950439788401127,90.35975646972656,0.004064050503075123,0.13163018226623535,6.863586349936668e-06,87.06519317626953,9.331441219728733e-07,0.1288876235485077,4291.58056640625,247.0424346923828,4298.68505859375,3.294563770294189
4.0,99550.78125,4267.17529296875,-166.34971618652344,166.34971618652344,4270.41650390625,2.232463359832764,1.0,3.5648483276418124e-07,0.6071339845657349,8.0,0.0883648470044136,0.035496968775987625,46.537700653076165,0.0019465832738205793,0.04674972593784332,8.312295904033817e-06,44.30523681640625,9.999999747378752e-06,0.045496318489313126,4267.17529296875,166.34971618652344,4270.41650390625,2.232463359832764
5.0,79160.15625,4272.99462890625,-94.47802734375,94.47802734375,4274.0390625,1.2666317224502563,1.0,3.278556164332258e-07,0.6187625527381897,8.0,0.1115116700530052,0.04483325034379959,177.55490112304688,0.002862552646547556,0.06230660900473595,1.048966896632919e-05,176.2882843017578,9.999999747378752e-06,0.057636696845293045,4272.99462890625,94.47802734375,4274.0390625,1.2666317224502563
6.0,62871.09375,4277.3251953125,-36.56755447387695,36.56755447387695,4277.4814453125,0.48981907963752747,1.0,2.902039568652981e-07,0.6682536005973816,8.0,0.14675144851207733,0.05629245936870575,7.863555908203125,0.003994427155703305,0.06970255076885223,1.316018824581988e-05,7.373736381530762,9.38539699291141e-07,0.07027819752693176,4277.3251953125,36.56755447387695,4277.4814453125,0.48981907963752747
7.0,49980.46875,4284.36767578125,20.320730209350582,-20.320730209350582,4284.41552734375,-0.2717515230178833,1.0,2.3797694836957817e-07,0.6791477203369141,8.0,0.23065347969532007,0.06733938306570053,-108.66986846923828,0.005070819053798914,0.07417385280132292,1.5717287169536576e-05,-108.39811706542967,1.0840395816558155e-06,0.0680999904870987,4284.36767578125,-20.320730209350582,4284.41552734375,-0.2717515230178833
8.0,39667.96875,4294.43798828125,72.76321411132812,-72.76321411132812,4295.05419921875,-0.9707034826278687,1.0,1.9516733118507545e-07,0.6701868772506714,8.0,0.3924100995063782,0.07307164371013641,-161.23001098632812,0.002960732439532876,0.03926873952150345,1.7012971511576325e-05,-160.25929260253906,9.999999747378752e-06,0.03996548429131508,4294.43798828125,-72.76321411132812,4295.05419921875,-0.9707034826278687
9.0,31582.03125,4313.9296875,120.29014587402344,-120.29014587402344,4315.6064453125,-1.5972286462783811,1.0,1.6864822782736158e-07,0.6571561694145203,8.0,0.5534877181053162,0.06087088957428932,-10.552741050720215,0.0006326964357867837,0.0030710061546415086,1.410482855135342e-05,-8.955512046813965,9.999999747378752e-06,0.009904678910970688,4313.9296875,-120.29014587402344,4315.6064453125,-1.5972286462783811
10.0,25019.53125,4323.650390625,181.45704650878903,-181.45704650878903,4327.4560546875,-2.4032065868377686,1.0,1.755022935867601e-07,0.6555263996124268,8.0,0.6434277296066284,0.0503065437078476,90.59672546386719,0.0008455869392491877,0.015999697148799896,1.1624968465184791e-05,92.99993133544922,9.999999747378752e-06,0.016233792528510094,4323.650390625,-181.45704650878903,4327.4560546875,-2.4032065868377686
