# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,250019.53125,4224.8388671875,-589.5463256835938,589.5463256835938,4265.77392578125,7.943923473358153,1.0,5.12678809627687e-07,0.3816844820976257,8.0,0.041671741753816605,0.01672171987593174,83.97488403320312,0.0028119287453591824,0.15751755237579343,3.91997355109197e-06,76.03096008300781,9.999999747378752e-06,0.15213477611541748,4224.8388671875,589.5463256835938,4265.77392578125,7.943923473358153
1.0,198691.40625,4188.642578125,-439.10571289062494,439.10571289062494,4211.595703125,5.984598159790039,1.0,4.881131303591247e-07,0.48990836739540095,8.0,0.05001245066523552,0.019813731312751767,-75.78325653076173,0.0037740538828074928,0.177152082324028,4.704566435975721e-06,-81.76785278320312,9.999999747378752e-06,0.1468839794397354,4188.642578125,439.10571289062494,4211.595703125,5.984598159790039
2.0,157792.96875,4172.8291015625,-323.52911376953125,323.52911376953125,4185.3525390625,4.43340539932251,1.0,5.100557700643549e-07,0.5514408946037292,8.0,0.0608711950480938,0.02396543323993683,-175.7654266357422,0.0038613060023635626,0.1535874456167221,5.7260258472524575e-06,179.80116271972656,9.999999747378752e-06,0.1354655474424362,4172.8291015625,323.52911376953125,4185.3525390625,4.43340539932251
3.0,125332.03125,4171.76904296875,-248.4255523681641,248.4255523681641,4179.1591796875,3.4078941345214844,1.0,5.187462193134706e-07,0.59322190284729,8.0,0.07472045719623564,0.02937445975840092,77.32296752929686,0.003964741714298725,0.13061916828155515,7.028796517261071e-06,73.91506958007811,9.112885663853377e-07,0.12528330087661743,4171.76904296875,248.4255523681641,4179.1591796875,3.4078941345214844
4.0,99550.78125,4150.40478515625,-142.31529235839844,142.31529235839844,4152.84423828125,1.9638741016387935,1.0,3.685120759655547e-07,0.6028738021850586,8.0,0.09039028733968735,0.035310905426740646,-96.62401580810547,0.002006295369938016,0.04573039710521697,8.502825039613526e-06,-98.587890625,9.999999747378752e-06,0.04617316648364067,4150.40478515625,142.31529235839844,4152.84423828125,1.9638741016387935
5.0,79160.15625,4158.3115234375,-78.93528747558594,78.93528747558594,4159.060546875,1.0874884128570557,1.0,3.2801852967168093e-07,0.6299115419387816,8.0,0.1139700412750244,0.04458896815776825,-172.3712158203125,0.0028447988443076606,0.06283598393201828,1.0720922546170186e-05,-173.45870971679688,9.999999747378752e-06,0.05873909965157509,4158.3115234375,78.93528747558594,4159.060546875,1.0874884128570557
6.0,62871.09375,4163.44580078125,-23.701025009155277,23.701025009155277,4163.51318359375,0.32616108655929565,1.0,2.7731891805160563e-07,0.6642497777938843,8.0,0.1533408910036087,0.05601795017719269,-95.94938659667967,0.0040813712403178215,0.0707472488284111,1.3454491636366583e-05,-96.27555084228516,9.525357995698868e-07,0.06975135952234268,4163.44580078125,23.701025009155277,4163.51318359375,0.32616108655929565
7.0,49980.46875,4172.5185546875,30.21083641052246,-30.21083641052246,4172.6279296875,-0.41483893990516657,1.0,1.9871725953635178e-07,0.6685540676116943,8.0,0.24360889196395877,0.0662895143032074,-132.47109985351562,0.004038797225803137,0.05984581634402275,1.5886753317317925e-05,-132.0562744140625,1.0665449963198623e-06,0.06631159037351608,4172.5185546875,-30.21083641052246,4172.6279296875,-0.41483893990516657
8.0,39667.96875,4183.12060546875,79.96302032470702,-79.96302032470702,4183.884765625,-1.0951119661331177,1.0,1.4303412854133057e-07,0.6562983393669128,8.0,0.41222837567329407,0.07079856097698212,14.901742935180664,0.0025501654017716646,0.034382980316877365,1.692172918410506e-05,15.996854782104492,9.999999747378752e-06,0.034777991473674774,4183.12060546875,-79.96302032470702,4183.884765625,-1.0951119661331177
9.0,31582.03125,4196.693359375,133.54428100585935,-133.54428100585935,4198.81787109375,-1.8226116895675657,1.0,1.3708185520044938e-07,0.6407073140144348,8.0,0.5628540515899657,0.0573303960263729,168.08071899414062,0.0005176702397875488,0.0025885039940476418,1.3653937458002474e-05,169.90333557128906,9.999999747378752e-06,0.009683635085821152,4196.693359375,-133.54428100585935,4198.81787109375,-1.8226116895675657
