# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,250019.53125,4294.10498046875,-611.5025024414064,611.5025024414064,4337.42724609375,8.104720115661621,1.0,4.978710421710275e-07,0.40219759941101074,8.0,0.04108043760061264,0.016761338338255882,76.5229263305664,0.0035390835255384445,0.2048654705286026,3.864350674120942e-06,68.41820526123047,9.999999747378752e-06,0.15968920290470123,4294.10498046875,611.5025024414064,4337.42724609375,8.104720115661621
1.0,198691.40625,4280.8369140625,-454.14984130859375,454.14984130859375,4304.859375,6.055802345275879,1.0,5.158031513019523e-07,0.436433345079422,8.0,0.04922935739159584,0.019935384392738342,81.77991485595702,0.004091351758688688,0.1785687506198883,4.630902367352974e-06,75.72411346435545,9.999999747378752e-06,0.14916163682937622,4280.8369140625,454.14984130859375,4304.859375,6.055802345275879
2.0,157792.96875,4267.89990234375,-363.99563598632807,363.99563598632807,4283.3935546875,4.874778747558594,1.0,4.6844701273585093e-07,0.5050830841064453,8.0,0.05997046083211898,0.024163890630006794,51.158218383789055,0.004062759689986706,0.153094083070755,5.641295501845889e-06,46.28344345092773,9.999999747378752e-06,0.13789483904838562,4267.89990234375,363.99563598632807,4283.3935546875,4.874778747558594
3.0,125332.03125,4237.30615234375,-257.5938720703125,257.5938720703125,4245.12890625,3.478837728500366,1.0,4.294388702419384e-07,0.5723033547401428,8.0,0.07373940199613571,0.029446380212903023,161.0013427734375,0.004149607848376036,0.13379967212677,6.936510999366874e-06,157.5225067138672,9.073036153495197e-07,0.12525270879268646,4237.30615234375,257.5938720703125,4245.12890625,3.478837728500366
4.0,99550.78125,4211.82568359375,-159.4326629638672,159.4326629638672,4214.84228515625,2.1678152084350586,1.0,2.862329608888104e-07,0.6118238568305969,8.0,0.08928219228982925,0.03539872169494629,4.660701751708984,0.0019164650002494452,0.04631877318024635,8.398588761338033e-06,2.492886781692505,9.999999747378752e-06,0.045380137860774994,4211.82568359375,159.4326629638672,4214.84228515625,2.1678152084350586
5.0,79160.15625,4221.2744140625,-90.23500061035155,90.23500061035155,4222.23876953125,1.2245821952819824,1.0,2.6363784400018636e-07,0.6387973427772522,8.0,0.11254196614027023,0.044699095189571374,93.32953643798828,0.0029100088868290186,0.06215627491474152,1.0586586540739516e-05,92.10494995117188,9.999999747378752e-06,0.05858061835169792,4221.2744140625,90.23500061035155,4222.23876953125,1.2245821952819824
6.0,62871.09375,4221.80029296875,-32.187847137451165,32.187847137451165,4221.9228515625,0.43682599067687994,1.0,2.5145428139694564e-07,0.6307928562164307,8.0,0.1497265100479126,0.05616872385144234,-51.468868255615234,0.004134563263505696,0.07029648870229721,1.330406121269334e-05,-51.90569305419922,9.57979864324443e-07,0.0698394775390625,4221.80029296875,32.187847137451165,4221.9228515625,0.43682599067687994
7.0,49980.46875,4232.841796875,21.604209899902344,-21.604209899902344,4232.89697265625,-0.2924322187900543,1.0,1.7875828461910714e-07,0.6532511115074158,8.0,0.2365604937076569,0.06687767803668976,-156.27601623535156,0.004237060435116291,0.06262731552124023,1.579950549057685e-05,-155.9835662841797,1.0983108040818479e-06,0.0685802772641182,4232.841796875,-21.604209899902344,4232.89697265625,-0.2924322187900543
8.0,39667.96875,4240.79736328125,72.64263916015625,-72.64263916015625,4241.41943359375,-0.9813507199287415,1.0,1.2808189353563648e-07,0.6469560861587524,8.0,0.4017960429191589,0.07204016298055649,-108.31298828125,0.002778230234980583,0.03717911615967751,1.6984917238005437e-05,-107.3316421508789,9.999999747378752e-06,0.03917910531163216,4240.79736328125,-72.64263916015625,4241.41943359375,-0.9813507199287415
9.0,31582.03125,4252.51416015625,124.63109588623045,-124.63109588623045,4254.33984375,-1.6787227392196655,1.0,1.0460543364843033e-07,0.6277318000793457,8.0,0.5588818788528441,0.059176135808229446,-27.82263374328613,0.0006670000730082393,0.004276319872587919,1.3909591871197335e-05,-26.143911361694332,9.999999747378752e-06,0.013388013467192648,4252.51416015625,-124.63109588623045,4254.33984375,-1.6787227392196655
