# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,29043.29296875,8420.05078125,-8420.05078125,30239.216796875,-16.1676025390625,1.0,2.9252166200421925e-07,0.8560855388641356,8.0,0.014825197868049145,0.042170856148004525,44.70607376098633,0.0027201692573726177,0.06516606360673904,1.3945752925792476e-06,60.87368011474609,9.999999747378752e-06,0.1782323122024536,29043.29296875,-8420.05078125,30239.216796875,-16.1676025390625
1.0,79511.71875,30308.474609375,7629.91748046875,-7629.91748046875,31254.107421875,-14.130146026611328,1.0,2.727620938003384e-07,0.8852269649505614,8.0,0.018153581768274307,0.053371679037809365,-73.82328033447266,0.0054621631279587754,0.05915554612874985,1.707669298411929e-06,-59.69313430786133,9.999999747378752e-06,0.0749410092830658,30308.474609375,-7629.91748046875,31254.107421875,-14.130146026611328
2.0,63105.46875,31162.69140625,6711.7451171875,-6711.7451171875,31877.279296875,-12.154556274414062,1.0,2.4757969185884576e-07,0.8752288818359374,8.0,0.022412655875086784,0.06720723956823349,-42.79375457763672,0.004798291716724633,0.07005887478590012,2.108311491610948e-06,-30.639198303222656,9.999999747378752e-06,0.1398370862007141,31162.69140625,-6711.7451171875,31877.279296875,-12.154556274414062
3.0,50214.84375,31908.47265625,6109.0517578125,-6109.0517578125,32488.015625,-10.838433265686035,1.0,2.193089869706455e-07,0.9033893942832946,8.0,0.02759908512234688,0.08434499800205231,-83.14111328125,0.00658187922090292,0.07714971899986267,2.596188096504193e-06,-72.30268096923827,9.999999747378752e-06,0.09041275829076768,31908.47265625,-6109.0517578125,32488.015625,-10.838433265686035
4.0,39902.34375,32461.90625,5459.90283203125,-5459.90283203125,32917.8671875,-9.547454833984377,1.0,2.1918116033248225e-07,0.9163275957107545,8.0,0.0342249758541584,0.10597813129425047,27.835832595825195,0.009646094404160976,0.0758802220225334,3.219471636839444e-06,37.38328552246094,9.999999747378752e-06,0.08690781146287918,32461.90625,-5459.90283203125,32917.8671875,-9.547454833984377
5.0,31699.21875,33088.359375,5030.18798828125,-5030.18798828125,33468.52734375,-8.644083976745605,1.0,2.0263770750261759e-07,0.9308785200119017,8.0,0.042325764894485474,0.1332547962665558,-109.84657287597656,0.010966409929096699,0.08113981783390045,3.98149586544605e-06,-101.2024917602539,9.999999747378752e-06,0.09079543501138689,33088.359375,-5030.18798828125,33468.52734375,-8.644083976745605
6.0,25136.71875,33542.515625,4528.4609375,-4528.4609375,33846.82421875,-7.688819408416749,1.0,2.1326576415958698e-07,0.9013228416442872,8.0,0.05275166407227516,0.16795600950717926,141.1834716796875,0.013928328640758991,0.08144225925207138,4.962238563166466e-06,148.87228393554688,9.999999747378752e-06,0.08887942135334016,33542.515625,-4528.4609375,33846.82421875,-7.688819408416749
7.0,19980.46875,33913.92578125,4240.6083984375,-4240.6083984375,34178.01953125,-7.127291202545166,1.0,1.8654976940979398e-07,0.8880111575126648,8.0,0.06568525731563568,0.2111816853284836,176.79971313476562,0.016290733590722084,0.07621292769908905,6.178874173201621e-06,-176.072998046875,9.999999747378752e-06,0.09531041234731674,33913.92578125,-4240.6083984375,34178.01953125,-7.127291202545166
8.0,15878.90625,34306.4296875,3963.413818359375,-3963.413818359375,34534.6171875,-6.5901522636413565,1.0,1.9463558942334203e-07,0.9161942601203918,8.0,0.08175511658191681,0.2655896246433258,-8.875102043151854,0.021635217592120167,0.08033016324043275,7.69053258409258e-06,-2.284950494766236,9.999999747378752e-06,0.08596497774124146,34306.4296875,-3963.413818359375,34534.6171875,-6.5901522636413565
9.0,12597.65625,34628.3203125,3759.622314453125,-3759.622314453125,34831.8125,-6.196374416351318,1.0,2.0137390777108521e-07,0.9168817400932312,8.0,0.10211214423179626,0.33457615971565247,-122.00420379638672,0.027074517682194706,0.07989317923784256,9.605475497664884e-06,-115.80782318115234,9.999999747378752e-06,0.0854404866695404,34628.3203125,-3759.622314453125,34831.8125,-6.196374416351318
10.0,10019.53125,34978.4921875,3644.0864257812495,-3644.0864257812495,35167.80078125,-5.947662830352783,1.0,2.136005150532583e-07,0.9543334841728209,8.0,0.12705110013484955,0.4203055202960968,97.62660980224608,0.03328797593712807,0.0782528668642044,1.1951430678891484e-05,103.57426452636717,1.05837432329281e-06,0.08715774863958359,34978.4921875,-3644.0864257812495,35167.80078125,-5.947662830352783
11.0,7928.24072265625,35333.5234375,3597.280517578125,-3597.280517578125,35516.16796875,-5.8132123947143555,1.0,2.1204203903835153e-07,0.9540889263153075,8.0,0.1866754740476608,0.5218371152877808,72.07781219482422,0.04012336581945419,0.07596858590841293,1.4692944205307867e-05,77.89102935791014,1.1550969247764442e-06,0.07765566557645796,35333.5234375,-3597.280517578125,35516.16796875,-5.8132123947143555
12.0,6307.87060546875,35657.0390625,3689.150634765625,-3689.150634765625,35847.375,-5.9069223403930655,1.0,1.8361328102400878e-07,0.9290105700492858,8.0,0.30958816409111023,0.5945035219192505,-8.94697570800781,0.03279783204197884,0.0544927604496479,1.6584297554800287e-05,-3.0400536060333248,9.72652287600795e-07,0.05786528810858727,35657.0390625,-3689.150634765625,35847.375,-5.9069223403930655
13.0,5034.72216796875,36068.37109375,3978.3637695312495,-3978.3637695312495,36287.11328125,-6.294316291809082,1.0,1.3541360033286765e-07,0.893921673297882,8.0,0.47067746520042414,0.5516853928565979,-5.456646442413329,0.002965772291645408,0.005054599605500697,1.5203341718006412e-05,0.8376704454421997,9.999999747378752e-06,0.0057148984633386135,36068.37109375,-3978.3637695312495,36287.11328125,-6.294316291809082
14.0,3993.0556640625,36508.19140625,4195.68603515625,-4195.68603515625,36748.49609375,-6.555927753448486,1.0,1.2524098735866573e-07,0.8878204822540283,8.0,0.5761034488677979,0.4497970938682556,20.35854148864746,0.0010176008800044656,0.0005405063275247812,1.2239877833053468e-05,26.91447067260742,9.999999747378752e-06,0.002410294022411108,36508.19140625,-4195.68603515625,36748.49609375,-6.555927753448486
15.0,3144.054931640625,36965.609375,4439.6865234375,-4439.6865234375,37231.265625,-6.848599910736084,1.0,1.2620289169262833e-07,0.8936461210250854,8.0,0.6595866680145264,0.4262644946575165,68.43367004394531,0.0008056640508584678,0.0018486258340999484,1.1449101293692364e-05,75.28226470947266,9.999999747378752e-06,0.003019586205482483,36965.609375,-4439.6865234375,37231.265625,-6.848599910736084
16.0,2519.53125,37414.8515625,4741.4970703125,-4741.4970703125,37714.09375,-7.222460746765136,1.0,1.2029153140247217e-07,0.8962621688842772,8.0,0.7278453707695006,0.41617017984390253,2.723154306411743,0.0011020995443686843,0.002627529436722398,1.1034871022275183e-05,9.945615768432615,9.999999747378752e-06,0.0035711885429918766,37414.8515625,-4741.4970703125,37714.09375,-7.222460746765136
17.0,2000.76220703125,37936.94921875,5170.70263671875,-5170.70263671875,38287.703125,-7.761432647705078,1.0,1.228023336352635e-07,0.8905311822891235,8.0,0.7895925045013428,0.4153585731983185,32.607025146484375,0.0013719312846660614,0.002711521228775382,1.0848354577319697e-05,40.36846160888672,9.999999747378752e-06,0.0043888879008591175,37936.94921875,-5170.70263671875,38287.703125,-7.761432647705078
18.0,1580.6685791015625,38532.83984375,5676.22509765625,-5676.22509765625,38948.67578125,-8.379902839660643,1.0,1.0541087647197857e-07,0.8889519572257996,8.0,0.8400231003761292,0.4143629372119904,94.3740463256836,0.0017851671436801553,0.004049868788570166,1.0638691492204089e-05,102.75394439697264,9.999999747378752e-06,0.0047651263885200015,38532.83984375,-5676.22509765625,38948.67578125,-8.379902839660643
19.0,1253.6336669921875,39231.796875,6340.091796875,-6340.091796875,39740.79296875,-9.179971694946287,1.0,9.872695017065779e-08,0.8757303357124328,8.0,0.8768945336341859,0.4148514568805695,132.7789306640625,0.002348335925489664,0.005661005154252052,1.0438933713885488e-05,141.95889282226562,9.999999747378752e-06,0.005052076652646065,39231.796875,-6340.091796875,39740.79296875,-9.179971694946287
20.0,1000.7022705078124,39976.3671875,7069.56298828125,-7069.56298828125,40596.66015625,-10.028702735900877,1.0,9.717818727494887e-08,0.8650700449943542,8.0,0.9065271615982056,0.4196853041648865,17.22911262512207,0.0033121164888143535,0.0076419347897171966,1.0337927051295992e-05,27.257816314697266,9.999999747378752e-06,0.006491576321423054,39976.3671875,-7069.56298828125,40596.66015625,-10.028702735900877
21.0,790.028076171875,40813.66015625,7869.044921875,-7869.044921875,41565.33203125,-10.9129581451416,1.0,9.385241384052279e-08,0.8627650141716003,8.0,0.9287881851196288,0.42586019635200495,-140.15554809570312,0.00433321762830019,0.009899999015033245,1.0245563316857442e-05,-129.2425994873047,9.999999747378752e-06,0.005527993198484182,40813.66015625,-7869.044921875,41565.33203125,-10.9129581451416
