# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,10559.0087890625,975.96875,-975.96875,10604.0166015625,-5.280841827392577,1.0,2.89887111648568e-07,0.3465204238891601,8.0,0.03999467194080353,0.039894592016935355,-145.80514526367188,0.0018497257260605689,0.04497484862804413,3.7622148738591928e-06,-140.52430725097656,9.999999747378752e-06,0.06872653216123581,10559.0087890625,-975.96875,10604.0166015625,-5.280841827392577
1.0,79511.71875,10703.30078125,992.8475341796877,-992.8475341796877,10749.2509765625,-5.299641132354736,1.0,2.886703498461429e-07,0.3824720978736877,8.0,0.049896549433469765,0.05045336857438088,-126.75006103515624,0.0036239465698599815,0.05951668694615364,4.693663868238217e-06,-121.45040893554688,9.999999747378752e-06,0.06150558963418007,10703.30078125,-992.8475341796877,10749.2509765625,-5.299641132354736
2.0,63105.46875,10820.26953125,1022.1151733398436,-1022.1151733398436,10868.4384765625,-5.396318435668944,1.0,2.7567429583541525e-07,0.39287903904914856,8.0,0.062139403074979775,0.06352954357862473,-73.51080322265625,0.004516324494034052,0.06988057494163513,5.845323357789312e-06,-68.1144790649414,9.999999747378752e-06,0.07997034490108491,10820.26953125,-1022.1151733398436,10868.4384765625,-5.396318435668944
3.0,50214.84375,11006.576171875,1045.174072265625,-1045.174072265625,11056.08984375,-5.424487590789794,1.0,2.8044487976330856e-07,0.41903102397918707,8.0,0.07667221128940582,0.07974087446928024,167.65968322753906,0.00621971907094121,0.07683933526277542,7.212394393718568e-06,173.08416748046875,9.999999747378752e-06,0.08152016997337341,11006.576171875,-1045.174072265625,11056.08984375,-5.424487590789794
4.0,39902.34375,11150.80859375,1107.04443359375,-1107.04443359375,11205.626953125,-5.669705867767334,1.0,2.739526223649591e-07,0.4246311783790588,8.0,0.09505389630794525,0.10019534081220625,9.461568832397461,0.008052186109125614,0.0769118219614029,8.9415207185084e-06,15.131275177001951,9.999999747378752e-06,0.08370956033468246,11150.80859375,-1107.04443359375,11205.626953125,-5.669705867767334
5.0,31699.21875,11316.958984375,1138.87841796875,-1138.87841796875,11374.1201171875,-5.746594429016112,1.0,2.5781349677345133e-07,0.44232842326164246,8.0,0.11773061007261276,0.12596464157104492,-107.9950714111328,0.010266679339110851,0.0804634690284729,1.1074671419919468e-05,-102.24848175048828,9.73461624198535e-07,0.08494193106889725,11316.958984375,-1138.87841796875,11374.1201171875,-5.746594429016112
6.0,25136.71875,11466.869140625,1195.81494140625,-1195.81494140625,11529.052734375,-5.953533172607422,1.0,2.5205213205481414e-07,0.45228150486946106,8.0,0.16164247691631317,0.1582922786474228,100.78501892089844,0.012691969983279703,0.07914835959672928,1.3729860256717075e-05,106.73855590820312,1.1967562159043155e-06,0.08465972542762755,11466.869140625,-1195.81494140625,11529.052734375,-5.953533172607422
7.0,19980.46875,11623.041015625,1272.819580078125,-1272.819580078125,11692.525390625,-6.249462127685546,1.0,1.7540347130307055e-07,0.44415116310119623,8.0,0.2565845251083374,0.18560227751731873,167.96240234375,0.011636504903435709,0.06193970516324043,1.5873582015046846e-05,174.21185302734375,1.1141282811877316e-06,0.06918983906507492,11623.041015625,-1272.819580078125,11692.525390625,-6.249462127685546
8.0,15878.90625,11796.443359375,1369.5863037109375,-1369.5863037109375,11875.6826171875,-6.622483730316161,1.0,1.2586644970724592e-07,0.4260776340961456,8.0,0.42073819041252136,0.1947332322597504,-10.80850601196289,0.005481427535414696,0.02770987153053284,1.6397645595134236e-05,-4.186021327972412,9.999999747378752e-06,0.02968814224004745,11796.443359375,-1369.5863037109375,11875.6826171875,-6.622483730316161
9.0,12597.65625,11987.2109375,1462.1131591796875,-1462.1131591796875,12076.05078125,-6.954173564910889,1.0,1.0004593775647665e-07,0.4094907343387604,8.0,0.5486903190612793,0.15748539566993713,-76.82935333251953,0.000743206706829369,0.001137355575338006,1.30411335703684e-05,-69.87517547607422,9.999999747378752e-06,0.0010876610176637769,11987.2109375,-1462.1131591796875,12076.05078125,-6.954173564910889
