# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,25022.794921875,3055.7880859375,-3055.7880859375,25208.69140625,-6.962495803833008,1.0,2.7807121227851894e-07,0.5929814577102661,8.0,0.017676055431365967,0.04191573709249496,-9.162046432495117,0.002525693504139781,0.0589694008231163,1.6627494687782018e-06,-2.1995511054992676,9.999999747378752e-06,0.0707092210650444,25022.794921875,-3055.7880859375,25208.69140625,-6.962495803833008
1.0,79511.71875,25381.99609375,2665.1044921875,-2665.1044921875,25521.529296875,-5.994081497192383,1.0,2.312617368716019e-07,0.6234427094459534,8.0,0.02209838293492794,0.05305284261703491,-106.74557495117188,0.003638137597590685,0.060701604932546616,2.0787485937034944e-06,-100.75150299072264,9.999999747378752e-06,0.062287170439958565,25381.99609375,-2665.1044921875,25521.529296875,-5.994081497192383
2.0,63105.46875,25586.15625,2567.093994140625,-2567.093994140625,25714.61328125,-5.7293901443481445,1.0,1.9473175427719977e-07,0.6091107726097107,8.0,0.02762215584516525,0.06681578606367111,-118.00471496582033,0.0049605146050453195,0.07038119435310364,2.5983583782362984e-06,-112.27532958984376,9.999999747378752e-06,0.08098794519901276,25586.15625,-2567.093994140625,25714.61328125,-5.7293901443481445
3.0,50214.84375,25876.162109375,2421.627197265625,-2421.627197265625,25989.228515625,-5.346467971801758,1.0,1.9223428182613134e-07,0.6556032299995422,8.0,0.03428134322166443,0.08380939811468124,148.6378631591797,0.006594816222786903,0.07733506709337233,3.2247742183244554e-06,153.9843292236328,9.999999747378752e-06,0.08119406551122665,25876.162109375,-2421.627197265625,25989.228515625,-5.346467971801758
4.0,39902.34375,26183.6171875,2062.704345703125,-2062.704345703125,26264.740234375,-4.504368782043457,1.0,1.808318188523117e-07,0.6629638671875,8.0,0.0426301434636116,0.10532497614622116,-38.50555038452149,0.009054043330252169,0.08363238722085951,4.010128122899913e-06,-34.001182556152344,9.999999747378752e-06,0.08436236530542372,26183.6171875,-2062.704345703125,26264.740234375,-4.504368782043457
5.0,31699.21875,26323.548828125,2349.837158203125,-2349.837158203125,26428.22265625,-5.101129531860352,1.0,1.8772828980218042e-07,0.6584251523017883,8.0,0.05326773598790169,0.13242611289024353,-71.04012298583984,0.010872571729123592,0.081072635948658,5.010784207115648e-06,-65.9389877319336,9.999999747378752e-06,0.09274537116289137,26323.548828125,-2349.837158203125,26428.22265625,-5.101129531860352
6.0,25136.71875,26642.744140625,2302.992431640625,-2302.992431640625,26742.09375,-4.940353393554688,1.0,1.9059919509345488e-07,0.6311588287353516,8.0,0.06637018173933029,0.16695901751518247,121.78067779541016,0.01376407127827406,0.08134583383798598,6.243303687369917e-06,126.72103118896484,9.999999747378752e-06,0.08416958153247833,26642.744140625,-2302.992431640625,26742.09375,-4.940353393554688
7.0,19980.46875,26837.421875,2328.793701171875,-2328.793701171875,26938.2734375,-4.9593682289123535,1.0,2.3798662596163922e-07,0.6379748582839966,8.0,0.08281435072422028,0.20985378324985504,138.4026641845703,0.0162817370146513,0.07660695165395735,7.790172276145313e-06,143.3620452880859,9.999999747378752e-06,0.09064500778913498,26837.421875,-2328.793701171875,26938.2734375,-4.9593682289123535
8.0,15878.90625,27108.91796875,2390.462158203125,-2390.462158203125,27214.109375,-5.039302825927734,1.0,1.8551952507550598e-07,0.6436353921890259,8.0,0.10307577252388,0.26387131214141846,-28.635852813720703,0.021515630185604092,0.08045458048582077,9.696122106106486e-06,-23.5965518951416,9.999999747378752e-06,0.08431240916252136,27108.91796875,-2390.462158203125,27214.109375,-5.039302825927734
9.0,12597.65625,27261.201171875,2211.06201171875,-2211.06201171875,27350.720703125,-4.636913299560546,1.0,1.9328368239257546e-07,0.6734849214553833,8.0,0.1291442513465881,0.3322655260562897,-113.79595184326172,0.026926724240183834,0.08002997189760208,1.2148329005867708e-05,-109.15904235839844,1.0466550293131147e-06,0.08365489542484283,27261.201171875,-2211.06201171875,27350.720703125,-4.636913299560546
10.0,10019.53125,27617.353515625,2493.20556640625,-2493.20556640625,27729.6640625,-5.15849494934082,1.0,1.9028630049433562e-07,0.7114789485931396,8.0,0.19053667783737183,0.409117579460144,87.15927124023438,0.03103996254503727,0.07496973872184753,1.475378667237237e-05,92.3177719116211,1.2183497801743215e-06,0.08144273608922958,27617.353515625,-2493.20556640625,27729.6640625,-5.15849494934082
11.0,7928.24072265625,27929.580078125,2656.833984375,-2656.833984375,28055.662109375,-5.433977127075195,1.0,1.774923248376581e-07,0.6868129372596741,8.0,0.317231684923172,0.46710932254791254,46.491397857666016,0.02511441335082054,0.05309794843196869,1.664937735768035e-05,51.92537307739258,9.511709890830388e-07,0.0562267117202282,27929.580078125,-2656.833984375,28055.662109375,-5.433977127075195
12.0,6307.87060546875,28248.51953125,2891.623779296875,-2891.623779296875,28396.1328125,-5.84465217590332,1.0,1.3041673696534417e-07,0.6598624587059021,8.0,0.49431169033050537,0.44246965646743774,-4.595456600189209,0.004785617813467979,0.010351194068789482,1.558203985041473e-05,1.2491954565048216,9.999999747378752e-06,0.011320837773382664,28248.51953125,-2891.623779296875,28396.1328125,-5.84465217590332
13.0,5034.72216796875,28609.619140625,3183.5830078125,-3183.5830078125,28786.205078125,-6.34956169128418,1.0,1.0865184663089167e-07,0.6550534963607788,8.0,0.5683233737945557,0.3309626579284668,16.853933334350582,0.0011160057038068771,0.00035518407821655273,1.1497267223603556e-05,23.203495025634766,9.999999747378752e-06,0.0013808523071929812,28609.619140625,-3183.5830078125,28786.205078125,-6.34956169128418
