# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,23056.26171875,5016.7568359375,-5016.7568359375,23595.7421875,-12.275513648986816,1.0,2.480712169017352e-07,0.5736097693443297,8.0,0.01883232779800892,0.04180027544498444,-81.3731689453125,0.002979516051709652,0.06936152279376984,1.771517645465792e-06,-69.09764862060547,9.999999747378752e-06,0.07938019186258317,23056.26171875,-5016.7568359375,23595.7421875,-12.275513648986816
1.0,79511.71875,23706.75,4517.99951171875,-4517.99951171875,24133.42578125,-10.789960861206055,1.0,2.322947523225594e-07,0.6260836124420166,8.0,0.02331208810210228,0.05292265489697456,-54.392627716064446,0.0036543537862598896,0.06103045120835304,2.1929192826064536e-06,-43.6026725769043,9.999999747378752e-06,0.06863190233707428,23706.75,-4517.99951171875,24133.42578125,-10.789960861206055
2.0,63105.46875,24151.818359375,4081.873291015625,-4081.873291015625,24494.326171875,-9.59284782409668,1.0,2.197055266606185e-07,0.5811656713485718,8.0,0.02893946878612041,0.06668029725551605,-64.14485931396484,0.004821687936782837,0.07014475017786026,2.7222752123634564e-06,-54.5520133972168,9.999999747378752e-06,0.08515100181102753,24151.818359375,-4081.873291015625,24494.326171875,-9.59284782409668
3.0,50214.84375,24561.23046875,3731.501220703125,-3731.501220703125,24843.0703125,-8.63868522644043,1.0,2.0859900473624293e-07,0.6286188364028931,8.0,0.035794928669929504,0.08365043252706526,-151.90896606445312,0.006555164232850075,0.07699022442102432,3.367153794897604e-06,-143.27027893066406,9.999999747378752e-06,0.08435848355293275,24561.23046875,-3731.501220703125,24843.0703125,-8.63868522644043
4.0,39902.34375,25019.544921875,3544.780029296875,-3544.780029296875,25269.408203125,-8.064019203186035,1.0,1.9336633272359904e-07,0.6371365189552307,8.0,0.04422922432422638,0.10513465851545332,-17.60152816772461,0.008778395131230354,0.0806589424610138,4.1605503611208405e-06,-9.537508010864256,9.999999747378752e-06,0.0877852290868759,25019.544921875,-3544.780029296875,25269.408203125,-8.064019203186035
5.0,31699.21875,25430.818359375,3434.298583984375,-3434.298583984375,25661.6640625,-7.690966606140136,1.0,2.032780486160846e-07,0.623864471912384,8.0,0.054768733680248254,0.13220837712287903,-44.403667449951165,0.01086543221026659,0.08112856000661851,5.151980076334439e-06,-36.71269989013672,9.999999747378752e-06,0.08901310712099075,25430.818359375,-3434.298583984375,25661.6640625,-7.690966606140136
6.0,25136.71875,25804.31640625,3243.085693359375,-3243.085693359375,26007.3125,-7.1633734703063965,1.0,2.19941071577523e-07,0.6400212645530701,8.0,0.06811895221471785,0.16664984822273254,-175.62655639648435,0.013667641207575798,0.08094093948602675,6.4078067225636914e-06,-168.4631805419922,9.999999747378752e-06,0.08745753765106201,25804.31640625,-3243.085693359375,26007.3125,-7.1633734703063965
7.0,19980.46875,26094.916015625,3204.826416015625,-3204.826416015625,26290.978515625,-7.001673698425293,1.0,1.7040404998169834e-07,0.5847057104110718,8.0,0.08475475758314131,0.20961014926433563,166.6154022216797,0.016977459192276,0.08003059774637222,7.972702405822929e-06,173.6170654296875,9.999999747378752e-06,0.08945435285568237,26094.916015625,-3204.826416015625,26290.978515625,-7.001673698425293
8.0,15878.90625,26449.16015625,3168.092041015625,-3168.092041015625,26638.22265625,-6.830371856689453,1.0,1.9299027087527065e-07,0.6146050095558168,8.0,0.10517259687185287,0.2635416686534881,-34.30301284790039,0.021401163190603256,0.08018425107002257,9.893366041069385e-06,-27.472640991210938,9.999999747378752e-06,0.08569145202636719,26449.16015625,-3168.092041015625,26638.22265625,-6.830371856689453
9.0,12597.65625,26732.962890625,3088.265625,-3088.265625,26910.755859375,-6.589755535125732,1.0,1.9287065811113282e-07,0.6306229829788208,8.0,0.13109324872493744,0.3318544924259186,-122.43695068359376,0.02675453200936317,0.0796433687210083,1.23316676763352e-05,-115.84718322753906,1.0786940265461451e-06,0.08510248363018036,26732.962890625,-3088.265625,26910.755859375,-6.589755535125732
