# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,27545.572265625,7446.62841796875,-7446.62841796875,28534.37890625,-15.127650260925291,1.0,3.0065055511840915e-07,0.6448174118995667,8.0,0.015692126005887985,0.042120322585105896,153.8937835693359,0.003076869295910001,0.07177245616912842,1.4761254760742304e-06,169.0214385986328,9.999999747378752e-06,0.09884880483150482,27545.572265625,-7446.62841796875,28534.37890625,-15.127650260925291
1.0,79511.71875,28430.017578125,6570.09912109375,-6570.09912109375,29179.310546875,-13.012459754943848,1.0,2.8939285812157323e-07,0.6668695807456969,8.0,0.01940513961017132,0.053263936191797256,-104.75824737548828,0.003918681293725968,0.05790483206510544,1.8254007727591672e-06,-91.74578857421875,9.999999747378752e-06,0.07013781368732452,28430.017578125,-6570.09912109375,29179.310546875,-13.012459754943848
2.0,63105.46875,29205.11328125,5998.56640625,-5998.56640625,29814.78515625,-11.606810569763184,1.0,2.835566306202964e-07,0.6963177919387816,8.0,0.023925913497805595,0.06710296124219894,-155.3493194580078,0.004763658624142408,0.0696682408452034,2.250660600111587e-06,-143.7425079345703,9.999999747378752e-06,0.09766606241464615,29205.11328125,-5998.56640625,29814.78515625,-11.606810569763184
3.0,50214.84375,29860.01171875,5492.43310546875,-5492.43310546875,30360.947265625,-10.422451019287108,1.0,2.5707018380671803e-07,0.7248151898384094,8.0,0.029482023790478703,0.08420038223266602,154.95806884765625,0.006585102062672377,0.07733063399791716,2.7733121896744706e-06,165.3805389404297,9.999999747378752e-06,0.08626206219196318,29860.01171875,-5492.43310546875,30360.947265625,-10.422451019287108
4.0,39902.34375,30465.88671875,5177.8701171875,-5177.8701171875,30902.759765625,-9.645612716674803,1.0,2.260581482005364e-07,0.7488424181938171,8.0,0.03639222681522369,0.10579065978527068,-24.69715690612793,0.008971787989139555,0.07967724651098251,3.4233403312100563e-06,-15.051544189453123,9.999999747378752e-06,0.0908154547214508,30465.88671875,-5177.8701171875,30902.759765625,-9.645612716674803
5.0,31699.21875,30953.34375,4680.22802734375,-4680.22802734375,31305.17578125,-8.598145484924316,1.0,1.9472784629215314e-07,0.7385718822479248,8.0,0.0451769046485424,0.13303750753402707,-139.164794921875,0.010939374566078186,0.08102607727050781,4.2496967580518685e-06,-130.5666351318359,9.999999747378752e-06,0.09011950343847273,30953.34375,-4680.22802734375,31305.17578125,-8.598145484924316
6.0,25136.71875,31262.525390625,4392.06396484375,-4392.06396484375,31569.537109375,-7.997128963470459,1.0,1.7763140647275577e-07,0.7010837197303772,8.0,0.05646321177482605,0.16767767071723935,119.14755249023436,0.013773391954600813,0.08104459941387177,5.311375844030408e-06,127.14468383789062,9.999999747378752e-06,0.08859648555517197,31262.525390625,-4392.06396484375,31569.537109375,-7.997128963470459
7.0,19980.46875,31591.90625,4167.27978515625,-4167.27978515625,31865.572265625,-7.5144872665405265,1.0,1.8422402092710402e-07,0.6869430541992188,8.0,0.07033506780862808,0.21083132922649384,151.90492248535156,0.01569788157939911,0.07349061965942384,6.616272457904415e-06,159.4194183349609,9.999999747378752e-06,0.0919334441423416,31591.90625,-4167.27978515625,31865.572265625,-7.5144872665405265
8.0,15878.90625,31984.162109375,4052.406982421875,-4052.406982421875,32239.861328125,-7.220924854278564,1.0,1.9891768943125498e-07,0.7084581851959229,8.0,0.08741623163223265,0.2651103734970093,-3.527653694152832,0.02160153165459633,0.08028969913721085,8.223061740864067e-06,3.693270683288574,9.999999747378752e-06,0.08611942827701569,31984.162109375,-4052.406982421875,32239.861328125,-7.220924854278564
9.0,12597.65625,32359.796875,4097.29296875,-4097.29296875,32618.16015625,-7.216206550598144,1.0,2.0823824797844281e-07,0.7177942991256714,8.0,0.10885606706142424,0.3340054452419281,-139.7524871826172,0.027051305398344997,0.07995535433292389,1.0239861694572028e-05,-132.53628540039062,9.107218943427143e-07,0.08564535528421403,32359.796875,-4097.29296875,32618.16015625,-7.216206550598144
10.0,10019.53125,32820.76953125,3926.581787109375,-3926.581787109375,33054.81640625,-6.822275161743164,1.0,2.476134568496491e-07,0.7683289051055907,8.0,0.13816674053668976,0.4195518791675568,92.53917694091795,0.03446982800960541,0.08117415010929108,1.2692608834186103e-05,99.3614501953125,1.1181780337210512e-06,0.08691896498203276,32820.76953125,-3926.581787109375,33054.81640625,-6.822275161743164
11.0,7928.24072265625,33263.1875,4007.768798828125,-4007.768798828125,33503.7578125,-6.8702569007873535,1.0,2.305092152710131e-07,0.7618669271469117,8.0,0.21106937527656555,0.5118176341056824,60.81824493408203,0.03723960369825363,0.07189712673425673,1.5276424164767377e-05,67.6884994506836,1.2111477190046571e-06,0.0782841145992279,33263.1875,-4007.768798828125,33503.7578125,-6.8702569007873535
12.0,6307.87060546875,33673.82421875,4190.1943359375,-4190.1943359375,33933.52734375,-7.0931267738342285,1.0,1.9142082408052374e-07,0.7382346987724304,8.0,0.3524888753890991,0.5666947364807129,-10.277960777282715,0.025632668286561962,0.044675394892692566,1.6700143532943912e-05,-3.1848330497741695,9.999999747378752e-06,0.047820605337619775,33673.82421875,-4190.1943359375,33933.52734375,-7.0931267738342285
13.0,5034.72216796875,34175.6015625,4560.23193359375,-4560.23193359375,34478.5078125,-7.60038423538208,1.0,1.2881764632766138e-07,0.7060402035713196,8.0,0.49689447879791254,0.486034631729126,-4.018094539642334,0.0011970250634476542,0.0017247750656679273,1.4096741324465256e-05,3.582289457321167,9.999999747378752e-06,0.0029033441096544266,34175.6015625,-4560.23193359375,34478.5078125,-7.60038423538208
14.0,3993.0556640625,34700.1640625,4870.501953125,-4870.501953125,35040.30859375,-7.989818096160888,1.0,1.1230682162022276e-07,0.7008918523788452,8.0,0.5865604281425476,0.4136342704296112,20.643053054809567,0.0007574607734568417,0.0005443392437882721,1.1804527275671717e-05,28.632869720458984,9.999999747378752e-06,0.002830624114722013,34700.1640625,-4870.501953125,35040.30859375,-7.989818096160888
15.0,3144.054931640625,35278.015625,5231.6728515625,-5231.6728515625,35663.828125,-8.435392379760742,1.0,9.475239437506387e-08,0.6978761553764343,8.0,0.6660513877868652,0.404970109462738,58.04182052612305,0.0008296651649288833,0.0020296087022870775,1.1355205060681328e-05,66.47721099853516,9.999999747378752e-06,0.0037373711820691824,35278.015625,-5231.6728515625,35663.828125,-8.435392379760742
16.0,2519.53125,35868.4609375,5671.89501953125,-5671.89501953125,36314.140625,-8.985801696777342,1.0,9.027262137806247e-08,0.6906037926673889,8.0,0.7301873564720154,0.39810931682586664,2.7566442489624023,0.001443080720491707,0.003205864923074841,1.096292817237554e-05,11.742445945739746,9.999999747378752e-06,0.004238189198076725,35868.4609375,-5671.89501953125,36314.140625,-8.985801696777342
17.0,2000.76220703125,36522.6640625,6179.5322265625,-6179.5322265625,37041.75390625,-9.603334426879881,1.0,9.966915825998512e-08,0.6863842606544496,8.0,0.7884948253631591,0.3999963998794556,33.17948532104492,0.0014528905740007758,0.003117718733847141,1.0798527000588363e-05,42.78282165527344,9.999999747378752e-06,0.004883678629994392,36522.6640625,-6179.5322265625,37041.75390625,-9.603334426879881
18.0,1580.6685791015625,37220.77734375,6739.57861328125,-6739.57861328125,37826.0234375,-10.2633638381958,1.0,1.152020132622056e-07,0.69326251745224,8.0,0.8355043530464172,0.40081191062927246,95.35367584228516,0.0018904746975749729,0.004669488407671452,1.0596193533274343e-05,105.6170425415039,9.999999747378752e-06,0.005247897934168577,37220.77734375,-6739.57861328125,37826.0234375,-10.2633638381958
19.0,1253.6336669921875,38028.171875,7465.166015625,-7465.166015625,38753.9765625,-11.106289863586424,1.0,1.3656459429967074e-07,0.6821873188018799,8.0,0.8721606731414795,0.4045423865318298,130.4261474609375,0.002730084117501974,0.0064774565398693085,1.0438732715556398e-05,141.5324554443359,9.999999747378752e-06,0.005539197009056807,38028.171875,-7465.166015625,38753.9765625,-11.106289863586424
