,Intended(mg),Real(mg),Time Taken(s)
0,10,9.9,44.63858342170715
1,10,10.100000000000001,54.78342843055725
2,10,9.9,58.57632875442505
3,10,9.9,53.28828001022339
4,10,10.0,36.73746681213379
5,10,10.600000000000001,59.6493923664093
6,10,10.5,58.91903471946716
7,10,10.699999999999998,49.50785255432129
8,25,25.399999999999995,52.638872385025024
9,25,25.199999999999996,42.32481145858765
10,25,24.8,42.06266236305237
11,25,25.0,39.063382625579834
12,25,24.8,40.08927941322327
13,25,24.900000000000002,45.3188374042511
14,25,24.9,53.34288954734802
15,25,25.3,50.896596908569336
