# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,8677.3076171875,214.94441223144528,-214.94441223144528,8679.96875,-1.418975830078125,1.0,6.952941333793206e-08,-0.15993835031986237,8.0,0.11537687480449677,0.010014676488935947,27.41231918334961,0.000594082463067025,0.056516002863645554,1.1537687214513424e-06,28.83129501342773,9.999999747378752e-06,0.1748816817998886,8677.3076171875,-214.94441223144528,8679.96875,-1.418975830078125
1.0,79511.71875,8773.4384765625,299.3863220214844,-299.3863220214844,8778.544921875,-1.9544128179550169,1.0,2.3257244663454915e-07,-0.06107978895306587,8.0,0.06512392312288284,0.049550075083971024,-106.3499755859375,0.0034685598220676184,0.05990477278828621,5.644451903208392e-06,-104.39556121826172,9.999999747378752e-06,0.06001022085547447,8773.4384765625,-299.3863220214844,8778.544921875,-1.9544128179550169
2.0,63105.46875,8846.6650390625,362.0390319824218,-362.0390319824218,8854.0693359375,-2.3434526920318604,1.0,2.121607280969329e-07,-0.045018058270215995,8.0,0.07489519566297531,0.06237899512052536,-41.46453857421875,0.004581999033689498,0.06999968737363815,7.045234269753564e-06,-39.1210823059082,9.999999747378752e-06,0.07752034813165665,8846.6650390625,-362.0390319824218,8854.0693359375,-2.3434526920318604
3.0,50214.84375,8940.5517578125,434.3534240722656,-434.3534240722656,8951.0966796875,-2.781379461288452,1.0,1.8466099049874174e-07,0.008700372651219368,8.0,0.09298744052648544,0.07829643785953522,-132.27456665039062,0.006095180287957192,0.0767746865749359,8.74713350640377e-06,-129.49319458007812,9.999999747378752e-06,0.07960604131221771,8940.5517578125,-434.3534240722656,8951.0966796875,-2.781379461288452
4.0,39902.34375,9026.2138671875,474.3611145019531,-474.3611145019531,9038.669921875,-3.008338928222656,1.0,1.7883908753901778e-07,0.03489474952220917,8.0,0.11570654809474944,0.09837935119867325,-80.83747100830078,0.008208543062210083,0.08066623657941818,1.0884272342082111e-05,-77.82913208007811,9.409517360836617e-07,0.08272647857666014,9026.2138671875,-474.3611145019531,9038.669921875,-3.008338928222656
5.0,31699.21875,9116.8408203125,574.5397338867188,-574.5397338867188,9134.9267578125,-3.6059889793396,1.0,1.7696237364361878e-07,0.025131281465291977,8.0,0.15665771067142487,0.12367982417345048,175.8376007080078,0.010113883763551712,0.08043204247951508,1.353922561975196e-05,179.44357299804688,1.1863124882438567e-06,0.08519280701875687,9116.8408203125,-574.5397338867188,9134.9267578125,-3.6059889793396
6.0,25136.71875,9216.701171875,632.965576171875,-632.965576171875,9238.4111328125,-3.928672790527344,1.0,1.4047328988908703e-07,0.023458344861865044,8.0,0.24797981977462769,0.1462385356426239,-55.66061782836913,0.009852982126176356,0.06636802107095718,1.582940421940293e-05,-51.7319450378418,1.1367852721377856e-06,0.06931328773498535,9216.701171875,-632.965576171875,9238.4111328125,-3.928672790527344
7.0,19980.46875,9314.583984375,698.966796875,-698.966796875,9340.7724609375,-4.2914347648620605,1.0,9.07992827592352e-08,0.031293757259845734,8.0,0.4129736125469208,0.15555672347545624,-57.81005096435546,0.005259300116449594,0.03339996188879013,1.665351737756282e-05,-53.51861190795898,9.999999747378752e-06,0.03616267815232277,9314.583984375,-698.966796875,9340.7724609375,-4.2914347648620605
8.0,15878.90625,9414.623046875,772.6285400390626,-772.6285400390626,9446.2734375,-4.691571235656737,1.0,8.242322735441122e-08,0.029328979551792145,8.0,0.5545902252197266,0.12685582041740415,66.21177673339844,0.0006591093260794878,0.0010804416378960011,1.3429192222247364e-05,70.90335083007812,9.999999747378752e-06,0.0017811758443713188,9414.623046875,-772.6285400390626,9446.2734375,-4.691571235656737
9.0,12597.65625,9522.6953125,802.7672119140626,-802.7672119140626,9556.4716796875,-4.818665027618408,1.0,6.14651085584228e-08,0.024838736280798912,8.0,0.6358655691146851,0.10956976562738419,-28.10565757751465,0.000678370357491076,0.0006794959190301597,1.1465503121144138e-05,-23.2869930267334,9.999999747378752e-06,0.001994074555113912,9522.6953125,-802.7672119140626,9556.4716796875,-4.818665027618408
10.0,10019.53125,9630.5439453125,961.674560546875,-961.674560546875,9678.439453125,-5.702465057373047,1.0,7.653481048919275e-08,0.026589287444949154,8.0,0.7097970843315125,0.10803744196891785,-161.555908203125,0.0007016703602857888,0.006131452973932028,1.116269140766235e-05,-155.85345458984375,9.999999747378752e-06,0.02107509970664978,9630.5439453125,-961.674560546875,9678.439453125,-5.702465057373047
11.0,7928.24072265625,9753.2880859375,1087.0684814453125,-1087.0684814453125,9813.681640625,-6.359745502471924,1.0,7.602606189038852e-08,0.024357391521334648,8.0,0.77582848072052,0.1072663366794586,126.73651123046876,0.0005753363948315382,0.0014706681249663232,1.0930285498034207e-05,133.0962677001953,9.999999747378752e-06,0.010497425682842731,9753.2880859375,-1087.0684814453125,9813.681640625,-6.359745502471924
12.0,6307.87060546875,9875.3447265625,1207.36328125,-1207.36328125,9948.876953125,-6.970409870147705,1.0,7.247565747547924e-08,0.01844835840165615,8.0,0.8297226428985596,0.10639991611242294,47.091175079345696,0.0007263741572387516,0.0009344537393189967,1.069466543413e-05,54.06158828735352,9.999999747378752e-06,0.002107539679855108,9875.3447265625,-1207.36328125,9948.876953125,-6.970409870147705
13.0,5034.72216796875,10033.6982421875,1382.4534912109375,-1382.4534912109375,10128.48828125,-7.8448805809021,1.0,6.268902552619693e-08,0.00926294270902872,8.0,0.84306800365448,0.1029139533638954,57.11856460571289,0.0005938437534496188,0.0004974081530235708,1.0160841156903189e-05,64.96343994140625,9.999999747378752e-06,0.0004663816944230348,10033.6982421875,-1382.4534912109375,10128.48828125,-7.8448805809021
14.0,3993.0556640625,10188.9189453125,1554.4339599609375,-1554.4339599609375,10306.810546875,-8.674229621887207,1.0,5.7123457963825786e-08,0.013739600777626036,8.0,0.8909299373626709,0.1089193969964981,62.45974349975586,0.00048242078628391033,0.00047910350258462126,1.0567711797193624e-05,71.13397216796875,9.999999747378752e-06,0.0006097436416894196,10188.9189453125,-1554.4339599609375,10306.810546875,-8.674229621887207
15.0,3144.054931640625,10365.0810546875,1767.7952880859375,-1767.7952880859375,10514.751953125,-9.678834915161133,1.0,6.028612631325814e-08,0.013265062123537064,8.0,0.9230407476425171,0.10893723368644714,99.58854675292967,0.0005489517352543771,0.00477350316941738,1.0360418855270837e-05,109.26737976074217,9.999999747378752e-06,0.0007646575686521827,10365.0810546875,-1767.7952880859375,10514.751953125,-9.678834915161133
16.0,2519.53125,10547.0556640625,1995.11376953125,-1995.11376953125,10734.0986328125,-10.711679458618164,1.0,6.614193637233257e-08,0.018134640529751778,8.0,0.941952347755432,0.10954022407531738,32.9349250793457,0.0006950886454433203,0.006133565213531256,1.0204883437836543e-05,43.64660644531249,9.999999747378752e-06,0.0008225596393458545,10547.0556640625,-1995.11376953125,10734.0986328125,-10.711679458618164
17.0,2000.76220703125,10761.7685546875,2265.739990234375,-2265.739990234375,10997.6923828125,-11.889190673828123,1.0,7.387242817458173e-08,0.028540035709738728,8.0,0.9564797282218931,0.11167305707931519,64.05711364746094,0.0006196614122018218,0.0010030886624008415,1.0154226401937194e-05,75.94630432128906,9.999999747378752e-06,0.0008491323096677662,10761.7685546875,-2265.739990234375,10997.6923828125,-11.889190673828123
18.0,1580.6685791015625,11001.328125,2592.65673828125,-2592.65673828125,11302.703125,-13.260795593261719,1.0,7.059576745405138e-08,0.037790697067976,8.0,0.9663809537887571,0.11419705301523209,119.45270538330078,0.00023742613848298788,0.001142537803389132,1.0103517524839845e-05,132.71348571777344,9.999999747378752e-06,0.0010329148499295115,11001.328125,-2592.65673828125,11302.703125,-13.260795593261719
19.0,1253.6336669921875,11268.1220703125,2965.92529296875,-2965.92529296875,11651.9228515625,-14.746559143066406,1.0,6.863280077595846e-08,0.04509881883859634,8.0,0.9739937782287597,0.11743710935115814,149.08782958984375,0.00017409904103260487,0.0012143016792833803,1.0078776540467516e-05,163.8343963623047,9.999999747378752e-06,0.0011843466199934483,11268.1220703125,-2965.92529296875,11651.9228515625,-14.746559143066406
20.0,1000.7022705078124,11566.96484375,3409.82958984375,-3409.82958984375,12059.0888671875,-16.42500877380371,1.0,6.868840785045904e-08,0.04235398769378662,8.0,0.9788294434547424,0.12118960916996002,26.53378677368164,0.0003602941578719765,0.0013099726056680083,1.0049648153653834e-05,42.95879364013672,9.999999747378752e-06,0.0038737866561859846,11566.96484375,-3409.82958984375,12059.0888671875,-16.42500877380371
21.0,790.028076171875,11914.4111328125,3947.492431640625,-3947.492431640625,12551.3310546875,-18.33110809326172,1.0,6.824496523449852e-08,0.04282983019948006,8.0,0.9839246273040771,0.12616665661334991,-131.39537048339844,0.00041906110709533095,0.0017296704463660717,1.0052053767140023e-05,-113.06426239013672,9.999999747378752e-06,0.001425636583007872,11914.4111328125,-3947.492431640625,12551.3310546875,-18.33110809326172
22.0,628.8109741210938,12296.015625,4562.51904296875,-4562.51904296875,13115.2041015625,-20.357709884643555,1.0,6.967954391257081e-08,0.04069332778453826,8.0,0.9883648753166199,0.1317439079284668,79.40422058105469,0.0006697342614643276,0.0023033502511680126,1.0045127964986023e-05,99.76193237304688,9.999999747378752e-06,0.0010956444311887024,12296.015625,-4562.51904296875,13115.2041015625,-20.357709884643555
23.0,502.2321472167969,12230.943359375,5694.85107421875,-5694.85107421875,13491.7490234375,-24.96716499328613,1.0,7.718167438497403e-08,0.04606971517205238,8.0,0.9584155082702637,0.13082924485206604,152.91017150878906,0.0006339342216961086,0.001877269591204822,9.69698066910496e-06,177.8773193359375,9.999999747378752e-06,0.0004082898667547852,12230.943359375,-5694.85107421875,13491.7490234375,-24.96716499328613
24.0,400.1524353027344,12836.7529296875,6479.8994140625,-6479.8994140625,14379.5458984375,-26.784311294555664,1.0,7.216712560875747e-08,0.045335475355386734,8.0,0.9806042909622192,0.1471245437860489,107.41226196289062,0.0008932834607549012,0.0034514935687184334,1.0231515261693856e-05,134.19656372070312,9.999999747378752e-06,0.0005852128379046917,12836.7529296875,-6479.8994140625,14379.5458984375,-26.784311294555664
25.0,315.5048217773437,13544.0234375,7532.52685546875,-7532.52685546875,15497.7265625,-29.08068084716797,1.0,7.93596939274721e-08,0.02968483790755272,8.0,0.9901460409164429,0.15648527443408966,-163.22401428222656,0.0008651128155179322,0.005224271211773157,1.0097304766532032e-05,-134.14332580566406,9.999999747378752e-06,0.0008086043526418507,13544.0234375,-7532.52685546875,15497.7265625,-29.08068084716797
