# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,4737.537109375,70.65287780761719,-70.65287780761719,4738.06396484375,-0.8544126749038696,1.0,5.8185666063081953e-08,-0.20593152940273285,8.0,0.19023713469505313,0.009013556875288486,31.919591903686523,0.00033581542083993554,0.034996144473552704,1.9023713093702095e-06,32.77400588989258,9.999999747378752e-06,0.08509202301502228,4737.537109375,-70.65287780761719,4738.06396484375,-0.8544126749038696
1.0,79511.71875,4796.39111328125,139.99972534179688,-139.99972534179688,4798.43408203125,-1.6719063520431519,1.0,1.421082203023616e-07,-0.1547484993934631,8.0,0.16150008141994476,0.040735870599746704,23.51013374328613,0.0020344676449894905,0.04535619169473648,8.489409083267674e-06,25.182041168212887,9.999999747378752e-06,0.042973492294549935,4796.39111328125,-139.99972534179688,4798.43408203125,-1.6719063520431519
2.0,63105.46875,4852.76708984375,197.90689086914065,-197.90689086914065,4856.80078125,-2.335358142852783,1.0,1.655678119050208e-07,-0.1138160303235054,8.0,0.17816559970378876,0.05357984080910683,127.026123046875,0.00317023741081357,0.05726184695959091,1.103191971196793e-05,129.3614959716797,9.999999747378752e-06,0.061468631029129035,4852.76708984375,-197.90689086914065,4856.80078125,-2.335358142852783
3.0,50214.84375,4894.2890625,256.48394775390625,-256.48394775390625,4901.0048828125,-2.999826431274414,1.0,1.426036817520071e-07,-0.09321692585945128,8.0,0.23757131397724152,0.0653514713048935,-176.67762756347656,0.003801825921982527,0.056951094418764114,1.3334298273548484e-05,-173.67779541015625,9.999999747378752e-06,0.05924297869205474,4894.2890625,-256.48394775390625,4901.0048828125,-2.999826431274414
4.0,39902.34375,4956.16943359375,307.1604919433594,-307.1604919433594,4965.6787109375,-3.54639196395874,1.0,1.1450499926013437e-07,-0.08738248795270918,8.0,0.3529140055179596,0.07376553118228912,154.31581115722656,0.0027487962506711483,0.036406029015779495,1.485507618781412e-05,157.86219787597656,9.999999747378752e-06,0.03810973092913628,4956.16943359375,-307.1604919433594,4965.6787109375,-3.54639196395874
5.0,31699.21875,5006.72998046875,376.6634216308594,-376.6634216308594,5020.87841796875,-4.302338123321533,1.0,1.014151749245684e-07,-0.08892187476158142,8.0,0.48988723754882807,0.0696958526968956,112.4278564453125,0.000680137425661087,0.006827151868492365,1.3881207451049704e-05,116.7302017211914,9.999999747378752e-06,0.0031998169142752886,5006.72998046875,-376.6634216308594,5020.87841796875,-4.302338123321533
6.0,25136.71875,5053.111328125,424.3016662597656,-424.3016662597656,5070.89404296875,-4.79977560043335,1.0,1.0062947808364697e-07,-0.09338039904832841,8.0,0.5825977325439453,0.06030553579330444,-40.32806396484375,0.0006399268168024719,0.001806171610951424,1.189248632726958e-05,-35.528289794921875,9.999999747378752e-06,0.0033809363376349206,5053.111328125,-424.3016662597656,5070.89404296875,-4.79977560043335
7.0,19980.46875,5121.07568359375,484.65765380859375,-484.65765380859375,5143.95849609375,-5.406359672546387,1.0,1.1082159545594549e-07,-0.09378868341445923,8.0,0.6625648736953735,0.05850015580654144,-7.814165115356444,0.0006065160850994289,0.009491929784417152,1.137259641836863e-05,-2.4078049659729004,9.999999747378752e-06,0.019811023026704788,5121.07568359375,-484.65765380859375,5143.95849609375,-5.406359672546387
8.0,15878.90625,5175.0771484375,547.0853271484375,-547.0853271484375,5203.91455078125,-6.034632205963135,1.0,1.0144468376438452e-07,-0.08919661492109297,8.0,0.7353459000587462,0.05775551125407218,74.28292083740233,0.00059904670342803,0.0011519098188728094,1.1098473805759568e-05,80.3175582885742,9.999999747378752e-06,0.0015883930027484892,5175.0771484375,-547.0853271484375,5203.91455078125,-6.034632205963135
9.0,12597.65625,5241.2197265625,567.5196533203125,-567.5196533203125,5271.85546875,-6.179913997650146,1.0,1.0621143076150474e-07,-0.08813651651144028,8.0,0.7974085807800293,0.057167962193489075,-8.573468208312988,0.0005837156786583364,0.0013507051626220343,1.0843992640729992e-05,-2.393554210662842,9.999999747378752e-06,0.0023516127839684486,5241.2197265625,-567.5196533203125,5271.85546875,-6.179913997650146
10.0,10019.53125,5312.1494140625,708.434814453125,-708.434814453125,5359.18017578125,-7.596214771270752,1.0,1.197128085550503e-07,-0.08786241710186003,8.0,0.8479120731353759,0.0569860115647316,-174.59771728515625,0.0006136579322628677,0.0090189091861248,1.0633345482347067e-05,-167.0015106201172,9.999999747378752e-06,0.021064056083559986,5312.1494140625,-708.434814453125,5359.18017578125,-7.596214771270752
11.0,7928.24072265625,5394.8583984375,810.0934448242188,-810.0934448242188,5455.34130859375,-8.539746284484863,1.0,1.0578750675449557e-07,-0.08463557809591293,8.0,0.8861287236213683,0.05701221153140068,143.66696166992188,0.0004769782535731792,0.002952353795990348,1.0450714398757555e-05,152.2067108154297,9.999999747378752e-06,0.013756662607192991,5394.8583984375,-810.0934448242188,5455.34130859375,-8.539746284484863
12.0,6307.87060546875,5481.39453125,923.3006591796877,-923.3006591796877,5558.6123046875,-9.561300277709961,1.0,1.2617175570994732e-07,-0.08196165412664413,8.0,0.9143919944763184,0.05735905468463898,59.9659538269043,0.0004541708331089466,0.0017010284354910254,1.0318952263332903e-05,69.52725219726562,9.999999747378752e-06,0.0023342345375567675,5481.39453125,-923.3006591796877,5558.6123046875,-9.561300277709961
13.0,5034.72216796875,5582.634765625,1060.5386962890625,-1060.5386962890625,5682.4775390625,-10.756362915039062,1.0,1.1647370001810486e-07,-0.07641506195068358,8.0,0.9051440358161926,0.056250065565109246,59.41318130493164,0.0004481635114643722,0.000467739620944485,9.898862117552198e-06,70.16954040527344,9.999999747378752e-06,0.0004526472184807062,5582.634765625,-1060.5386962890625,5682.4775390625,-10.756362915039062
14.0,3993.0556640625,5690.29541015625,1213.11767578125,-1213.11767578125,5818.17138671875,-12.034754753112791,1.0,1.152966149220447e-07,-0.07669714093208313,8.0,0.938388705253601,0.06031864881515503,64.52798461914062,0.00041994859930127854,0.0006651660078205168,1.0367286449763924e-05,76.56273651123047,9.999999747378752e-06,0.0005243345513008535,5690.29541015625,-1213.11767578125,5818.17138671875,-12.034754753112791
15.0,3144.054931640625,5813.79443359375,1399.911865234375,-1399.911865234375,5979.962890625,-13.53860092163086,1.0,1.207351090215525e-07,-0.07539079338312149,8.0,0.9566840529441832,0.060965511947870255,103.83413696289062,0.0003710898454301059,0.005828254856169224,1.0194965398113707e-05,117.3727340698242,9.999999747378752e-06,0.0007976919878274201,5813.79443359375,-1399.911865234375,5979.962890625,-13.53860092163086
16.0,2519.53125,5944.5810546875,1605.0565185546875,-1605.0565185546875,6157.455078125,-15.10975170135498,1.0,1.2406070482029466e-07,-0.07418306916952133,8.0,0.9670064449310303,0.06223892420530319,33.40483856201172,0.0004093654279131442,0.006339616142213345,1.0107897651323581e-05,48.514591217041016,9.999999747378752e-06,0.0008394606411457061,5944.5810546875,-1605.0565185546875,6157.455078125,-15.10975170135498
17.0,2000.76220703125,6098.4853515625,1858.8072509765625,-1858.8072509765625,6375.4755859375,-16.951126098632812,1.0,1.2341516253400187e-07,-0.07135260850191116,8.0,0.974770188331604,0.0642666220664978,59.60054397583008,0.00040539429755881434,0.0009061398450285196,1.0080286301672459e-05,76.55166625976561,9.999999747378752e-06,0.0008474366622976959,6098.4853515625,-1858.8072509765625,6375.4755859375,-16.951126098632812
18.0,1580.6685791015625,6276.6103515625,2159.7724609375,-2159.7724609375,6637.8046875,-18.988265991210938,1.0,1.2531594961728842e-07,-0.0669105127453804,8.0,0.9803389310836793,0.06675726175308228,110.86930847167967,0.0001852097338996828,0.0010037553729489444,1.0057128747575916e-05,129.85757446289062,9.999999747378752e-06,0.0011639362201094627,6276.6103515625,-2159.7724609375,6637.8046875,-18.988265991210938
