# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,100019.53125,3133.22705078125,97.55470275878906,-97.55470275878906,3134.745361328125,-1.7833586931228635,1.0,1.1403580657542989e-07,-0.1655498892068863,8.0,0.25702330470085144,0.00805702619254589,-114.39876556396484,0.0003146242524962872,0.03633113577961922,2.5702331640786724e-06,-112.61540222167967,9.999999747378752e-06,0.05934138223528863,3133.22705078125,-97.55470275878906,3134.745361328125,-1.7833586931228635
1.0,79511.71875,3170.7890625,157.21324157714844,-157.21324157714844,3174.68408203125,-2.8385000228881836,1.0,1.5599972869040357e-07,-0.13135407865047455,8.0,0.26897662878036493,0.033223286271095276,-128.0382080078125,0.0010197529336437583,0.02621939592063427,1.0465067134646231e-05,-125.19970703125,9.999999747378752e-06,0.02607889287173748,3170.7890625,-157.21324157714844,3174.68408203125,-2.8385000228881836
2.0,63105.46875,3206.47509765625,214.40806579589844,-214.40806579589844,3213.6357421875,-3.825514793395996,1.0,1.4510510482068642e-07,-0.10436667501926422,8.0,0.33939993381500244,0.040550276637077325,-178.75489807128906,0.0011540891136974096,0.02548346482217312,1.2618193977687042e-05,-174.92938232421875,9.999999747378752e-06,0.02972903475165367,3206.47509765625,-214.40806579589844,3213.6357421875,-3.825514793395996
3.0,50214.84375,3253.8720703125,264.9939880371094,-264.9939880371094,3264.644775390625,-4.655869483947754,1.0,1.3370402029977413e-07,-0.0951932817697525,8.0,0.443953663110733,0.042703337967395776,-153.6918182373047,0.0005465382128022611,0.007240107748657466,1.3080546523269732e-05,-149.0359649658203,9.999999747378752e-06,0.007771640550345182,3253.8720703125,-264.9939880371094,3264.644775390625,-4.655869483947754
4.0,39902.34375,3311.237548828125,303.3089294433594,-303.3089294433594,3325.10009765625,-5.233680725097656,1.0,1.1344247496936077e-07,-0.0991090014576912,8.0,0.5325156450271606,0.039884071797132485,-160.14022827148435,0.0004194818320684135,0.0016560236690565944,1.199484813696472e-05,-154.90655517578125,9.999999747378752e-06,0.001411188975907862,3311.237548828125,-303.3089294433594,3325.10009765625,-5.233680725097656
5.0,31699.21875,3343.828125,361.7919006347656,-361.7919006347656,3363.343505859375,-6.175204753875732,1.0,1.0753694823506521e-07,-0.08280053734779358,8.0,0.6135636568069458,0.03875238448381424,-157.29635620117188,0.00044609769247472286,0.0024162963964045048,1.1521983651618937e-05,-151.12115478515625,9.999999747378752e-06,0.006358972750604153,3343.828125,-361.7919006347656,3363.343505859375,-6.175204753875732
6.0,25136.71875,3394.255615234375,426.8048095703125,-426.8048095703125,3420.984130859375,-7.166944026947021,1.0,8.881362845158945e-08,-0.07687512040138243,8.0,0.6891697049140929,0.038425330072641366,-90.09427642822264,0.0005618467694148421,0.0015936997951939702,1.1232244105485732e-05,-82.92733001708984,9.999999747378752e-06,0.0034668969456106424,3394.255615234375,-426.8048095703125,3420.984130859375,-7.166944026947021
7.0,19980.46875,3444.80517578125,487.2477111816406,-487.2477111816406,3479.09375,-8.050749778747559,1.0,8.245575600085431e-08,-0.07895873486995697,8.0,0.7565484046936035,0.03819237276911736,9.198966026306152,0.0004951960290782154,0.011286750435829163,1.0977679266943596e-05,17.24971580505371,9.999999747378752e-06,0.01792602799832821,3444.80517578125,-487.2477111816406,3479.09375,-8.050749778747559
8.0,15878.90625,3505.688720703125,556.6517944335938,-556.6517944335938,3549.607666015625,-9.022403717041016,1.0,7.571971138986555e-08,-0.06543184816837311,8.0,0.8125786781311035,0.038124926388263695,103.23173522949217,0.0004860590270254761,0.0013270918279886244,1.0740604011516552e-05,112.25413513183592,9.999999747378752e-06,0.0018340839305892585,3505.688720703125,-556.6517944335938,3549.607666015625,-9.022403717041016
9.0,12597.65625,3536.410888671875,637.4649047851562,-637.4649047851562,3593.405517578125,-10.218268394470215,1.0,6.916287986769021e-08,-0.05708569660782815,8.0,0.8619040250778198,0.03811533376574516,-4.727840423583984,0.0005662556504830718,0.0014879130758345127,1.0607022886688355e-05,5.490428924560546,9.999999747378752e-06,0.001746645662933588,3536.410888671875,-637.4649047851562,3593.405517578125,-10.218268394470215
10.0,10019.53125,3632.376708984375,727.5730590820312,-727.5730590820312,3704.527587890625,-11.326581001281738,1.0,6.806743613196886e-08,-0.04989439621567726,8.0,0.8911101818084717,0.038300573825836175,-169.02503967285156,0.0005025584250688553,0.01153636910021305,1.0338855645386502e-05,-157.6984710693359,9.999999747378752e-06,0.01945529505610466,3632.376708984375,-727.5730590820312,3704.527587890625,-11.326581001281738
