# point,freq,zreal,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.000000000000000000e+00,1.000195312500000000e+05,3.310894531250000000e+04,-4.826425781250000000e+03,3.345887890625000000e+04,-8.293820381164550781e+00,1.000000000000000000e+00,2.604022881769196829e-07,8.725741505622863770e-01,8.000000000000000000e+00,1.345284469425678253e-02,4.234157502651214600e-02,7.932872772216796875e+01,2.485922304913401604e-03,5.634442716836929321e-02,1.265480932488571852e-06,8.762255096435546875e+01,9.999999747378751636e-06,6.433705985546112061e-02,3.310894531250000000e+04,-4.826425781250000000e+03,3.345887890625000000e+04,-8.293820381164550781e+00
1.000000000000000000e+00,7.951171875000000000e+04,3.358285546875000000e+04,-4.181880371093750000e+03,3.384222656250000000e+04,-7.098176479339599609e+00,1.000000000000000000e+00,2.434401551454357104e-07,8.760167360305786133e-01,8.000000000000000000e+00,1.682960614562034607e-02,5.357649922370910645e-02,1.658682861328125000e+02,3.716105828061699867e-03,6.557960808277130127e-02,1.583125708748411853e-06,1.729664764404296875e+02,9.999999747378751636e-06,6.554581224918365479e-02,3.358285546875000000e+04,-4.181880371093750000e+03,3.384222656250000000e+04,-7.098176479339599609e+00
2.000000000000000000e+00,6.310546875000000000e+04,3.390413671875000000e+04,-3.729201171875000000e+03,3.410861328125000000e+04,-6.276874542236328125e+00,1.000000000000000000e+00,2.231263209750977694e-07,9.143397212028503418e-01,8.000000000000000000e+00,2.101994678378105164e-02,6.744304299354553223e-02,1.412578277587890625e+02,4.859122447669506073e-03,7.018171995878219604e-02,1.977302417799364775e-06,1.475347137451171875e+02,9.999999747378751636e-06,7.645021378993988037e-02,3.390413671875000000e+04,-3.729201171875000000e+03,3.410861328125000000e+04,-6.276874542236328125e+00
3.000000000000000000e+00,5.021484375000000000e+04,3.402364453125000000e+04,-3.409746093750000000e+03,3.419407421875000000e+04,-5.722900867462158203e+00,1.000000000000000000e+00,1.877178874565288424e-07,8.967511653900146484e-01,8.000000000000000000e+00,2.629760280251502991e-02,8.458793908357620239e-02,-1.659207916259765625e+02,6.715278606861829758e-03,7.703549414873123169e-02,2.473760332577512600e-06,-1.601978912353515625e+02,9.999999747378751636e-06,8.244454860687255859e-02,3.402364453125000000e+04,-3.409746093750000000e+03,3.419407421875000000e+04,-5.722900867462158203e+00
4.000000000000000000e+00,3.990234375000000000e+04,3.457842578125000000e+04,-2.576563232421875000e+03,3.467428906250000000e+04,-4.261439800262451172e+00,1.000000000000000000e+00,1.891263678999166586e-07,9.346508979797363281e-01,8.000000000000000000e+00,3.258658200502395630e-02,1.062888801097869873e-01,-2.655290222167968750e+01,9.132791310548782349e-03,8.475173264741897583e-02,3.065351393161108717e-06,-2.229146194458007812e+01,9.999999747378751636e-06,8.691760897636413574e-02,3.457842578125000000e+04,-2.576563232421875000e+03,3.467428906250000000e+04,-4.261439800262451172e+00
5.000000000000000000e+00,3.169921875000000000e+04,3.469205859375000000e+04,-2.671434814453125000e+03,3.479476171875000000e+04,-4.403326988220214844e+00,1.000000000000000000e+00,1.699171008340272238e-07,9.194263815879821777e-01,8.000000000000000000e+00,4.082357138395309448e-02,1.336184293031692505e-01,-1.345462951660156250e+02,1.108811330050230026e-02,8.162684738636016846e-02,3.840187673631589860e-06,-1.301429748535156250e+02,9.999999747378751636e-06,8.213133364915847778e-02,3.469205859375000000e+04,-2.671434814453125000e+03,3.479476171875000000e+04,-4.403326988220214844e+00
6.000000000000000000e+00,2.513671875000000000e+04,3.490974609375000000e+04,-2.453953857421875000e+03,3.499589062500000000e+04,-4.020948410034179688e+00,1.000000000000000000e+00,1.864910643689654535e-07,9.079270958900451660e-01,8.000000000000000000e+00,5.115098506212234497e-02,1.683885455131530762e-01,5.107876968383789062e+01,1.399601809680461884e-02,8.188250660896301270e-02,4.811665803572395816e-06,5.509972000122070312e+01,9.999999747378751636e-06,9.041549265384674072e-02,3.490974609375000000e+04,-2.453953857421875000e+03,3.499589062500000000e+04,-4.020948410034179688e+00
7.000000000000000000e+00,1.998046875000000000e+04,3.510997656250000000e+04,-2.274213378906250000e+03,3.518355468750000000e+04,-3.706099033355712891e+00,1.000000000000000000e+00,1.617573701651053852e-07,9.303578734397888184e-01,8.000000000000000000e+00,6.397616863250732422e-02,2.117382884025573730e-01,8.598365783691406250e+01,1.823344454169273376e-02,8.505960553884506226e-02,6.018104159011272714e-06,8.968975830078125000e+01,9.999999747378751636e-06,8.410208672285079956e-02,3.510997656250000000e+04,-2.274213378906250000e+03,3.518355468750000000e+04,-3.706099033355712891e+00
8.000000000000000000e+00,1.587890625000000000e+04,3.531487890625000000e+04,-2.214145019531250000e+03,3.538422265625000000e+04,-3.587590694427490234e+00,1.000000000000000000e+00,1.624920002996077528e-07,9.150803685188293457e-01,8.000000000000000000e+00,7.999101281166076660e-02,2.662516534328460693e-01,-8.916963958740234375e+01,2.176174335181713104e-02,8.066274225711822510e-02,7.524587090301793069e-06,-8.558204650878906250e+01,9.999999747378751636e-06,8.332095295190811157e-02,3.531487890625000000e+04,-2.214145019531250000e+03,3.538422265625000000e+04,-3.587590694427490234e+00
9.000000000000000000e+00,1.259765625000000000e+04,3.559407031250000000e+04,-2.071725341796875000e+03,3.565431250000000000e+04,-3.331098556518554688e+00,1.000000000000000000e+00,1.710604351501388010e-07,9.606668949127197266e-01,8.000000000000000000e+00,1.000351309776306152e-01,3.355104625225067139e-01,-1.651130065917968750e+02,2.727078087627887726e-02,8.026868849992752075e-02,9.410095117345917970e-06,-1.617819061279296875e+02,9.999999747378751636e-06,8.320656418800354004e-02,3.559407031250000000e+04,-2.071725341796875000e+03,3.565431250000000000e+04,-3.331098556518554688e+00
