_id,name,avg_cv_diff,avg_highV,avg_lowV,components,cv_date_uploaded,cv_diff,highV,ignore_first,lowV,precipitated_out,water_weight,cv_error,avg_conductivity,conductivity,geis_date_uploaded,geis_error
67c0e8fe7f3a7022627b18d3,SO4_3m,2.35119145,1.3101503,-1.041041149999999,{'SO4': 3.0},2025-02-17 10:51:57,"[2.3489557, 2.3451972, 2.357185699999999]","[1.3321394, 1.3071607, 1.3131399]",1.0,"[-1.0168163, -1.0380365, -1.0440458]",False,0.025078239417843002,0.011988499999999002,0.072192425648439,"[0.074454138020962, 0.07263007332300901, 0.071754777973868]",2025-02-17 10:51:54,-0.0008752953491410001
67c0e8fe7f3a7022627b18d4,FSI_1.68m,2.3520655,1.28693485,-1.06513065,{'FSI': 1.6800000000000002},2025-02-17 10:51:57,"[2.3772187000000002, 2.3409647, 2.3631663]","[1.3479805, 1.2849208, 1.2889489]",1.0,"[-1.0292382, -1.0560439, -1.0742174]",False,0.033255904960484,0.022201600000000002,0.045401850479293,"[0.000974504517879, 0.028339506530291003, 0.062464194428295004]",2025-02-17 10:51:56,0.034124687898003006
67c0e8fe7f3a7022627b18d5,AC_2.88m,2.15401545,1.13228745,-1.021728,{'AC': 2.88},2025-02-17 10:51:58,"[2.1650356, 2.1510154, 2.1570155]","[1.117593, 1.1259729, 1.1386020000000001]",1.0,"[-1.0474426, -1.0250425, -1.0184135]",False,0.054514591867298005,0.006000099999999,0.039862289330431004,"[0.041848217903736, 0.038791821362462, 0.040932757298399]",2025-02-17 10:51:56,0.0021409359359370003
67c0e8ff7f3a7022627b18d6,FSI_21m,2.87833135,1.693106,-1.18522535,{'FSI': 21.0},2025-02-17 10:51:57,"[2.749374, 2.8632422, 2.8934205]","[1.6541108, 1.706722, 1.67949]",1.0,"[-1.0952632, -1.1565202, -1.2139305]",False,0.002676852287568,0.030178299999999002,0.031045490410298002,"[0.037317781977885, 0.031297220860407, 0.030793759960189]",2025-02-17 10:51:55,-0.0005034609002170001
67c0e8ff7f3a7022627b18d7,AC_3.5m_SO4_.5m,2.160900524999999,1.1786469,-0.982253625,"{'AC': 3.5, 'SO4': 0.5}",2025-02-17 10:51:57,"[2.164943, 2.15888885, 2.1629122]","[1.1986738, 1.1766344, 1.1806594]",1.0,"[-0.9662691999999999, -0.98225445, -0.9822527999999999]",False,0.034647411265320005,0.00402335,0.041579775030964,"[0.043127099376709006, 0.041406915579914, 0.041752634482014]",2025-02-17 10:51:54,0.0003457189021
67c0e8ff7f3a7022627b18d8,NO3_0.93m_ClO4_0.65m,2.33015835,1.3165550000000001,-1.01360335,"{'NO3': 0.93, 'ClO4': 0.65}",2025-02-17 10:51:58,"[2.32499074, 2.3291489, 2.3311678000000002]","[1.3498119, 1.3225609, 1.3105491]",1.0,"[-0.97517884, -1.006588, -1.0206187]",False,0.09103743119775201,0.0020189,0.089767130177095,"[0.080612505723113, 0.090896598214348, 0.088637662139843]",2025-02-17 10:51:55,-0.0022589360745050003
67c0e8ff7f3a7022627b18d9,NO3_6.86m_AC_1.68m,2.2790815,1.21954475,-1.05953675,"{'NO3': 6.86, 'AC': 1.6800000000000002}",2025-02-17 10:51:58,"[2.2690801, 2.2770672, 2.2810958]","[1.2304543, 1.2226409999999999, 1.2164485]",1.0,"[-1.0386258, -1.0544262, -1.0646473]",False,0.02084232763741,0.004028599999999,0.11109576921843901,"[0.110554359921013, 0.10664730084059201, 0.11554423759628601]",2025-02-17 10:51:54,0.008896936755693
67c0e9007f3a7022627b18da,TFSI_0.25m,2.2930375,1.26270305,-1.03033445,{'TFSI': 0.25},2025-02-17 10:51:57,"[2.281124, 2.2911306, 2.2949444]","[1.2457179, 1.2596916, 1.2657145]",1.0,"[-1.0354060999999999, -1.031439, -1.0292299]",False,0.131743983260523,0.0038138000000000004,0.009377882509753,"[0.009291834504275, 0.00943012777993, 0.009325637239575]",2025-02-17 10:51:54,-0.00010449054035500001
67c0e9007f3a7022627b18db,FSI_0.62m,2.308161499999999,1.29123525,-1.01692625,{'FSI': 0.62},2025-02-17 10:51:57,"[2.2931017, 2.3091717, 2.3071513]","[1.2975354000000001, 1.2955457, 1.2869248]",1.0,"[-0.9955662999999999, -1.013626, -1.0202265]",False,0.089099589974862,-0.0020203999999990003,0.033268679539087,"[0.032710405208558, 0.033505064659428, 0.033032294418745]",2025-02-17 10:51:55,-0.00047277024068200006
67c0e9007f3a7022627b18dc,AC_1.71m,2.151959415,1.18065905,-0.971300365,{'AC': 1.71},2025-02-17 10:51:58,"[2.15095374, 2.15095576, 2.15296307]","[1.1866366, 1.1786566, 1.1826615]",1.0,"[-0.96431714, -0.97229916, -0.9703015700000001]",False,0.09113419822828801,0.00200731,0.03914867896653,"[0.038393028405709004, 0.039818033456833005, 0.038479324476227005]",2025-02-17 10:51:54,-0.0013387089806060001
